"JJJ","CTY","RIQ","Val"
"jbeef","AFG","QS",82.3359868520277
"jbeef","AFG","QD",99.6585703311072
"jbeef","AFG","QF",99.6585703311072
"jbeef","AFG","QM",17.3225834790795
"jbeef","AFG","QN",-17.3225834790795
"jbeef","AFG","ARA",570.623006184896
"jbeef","AFG","YLD",0.144291390216659
"jbeef","AGO","QS",102.417339514019
"jbeef","AGO","QD",123.987466268849
"jbeef","AGO","QF",123.987466268849
"jbeef","AGO","QM",21.5701267548301
"jbeef","AGO","QN",-21.5701267548301
"jbeef","AGO","ARA",630.651977539062
"jbeef","AGO","YLD",0.162399141145444
"jbeef","ALB","QS",31.440228955359
"jbeef","ALB","QD",38.6654383290063
"jbeef","ALB","QF",38.6654383290063
"jbeef","ALB","QM",7.22520937364729
"jbeef","ALB","QN",-7.22520937364729
"jbeef","ALB","ARA",265.99733988444
"jbeef","ALB","YLD",0.118197531482901
"jbeef","ARG","QS",3108.68812624635
"jbeef","ARG","QD",2418.40213655074
"jbeef","ARG","QF",2140.67070280559
"jbeef","ARG","QW",277.731433745152
"jbeef","ARG","QE",690.285989695611
"jbeef","ARG","QN",690.285989695611
"jbeef","ARG","ARA",13519.6272786458
"jbeef","ARG","YLD",0.229938892705756
"jbeef","ARM","QS",67.2035299140397
"jbeef","ARM","QD",73.9958337372339
"jbeef","ARM","QF",72.9958368621164
"jbeef","ARM","QW",0.999996875117475
"jbeef","ARM","QM",6.79230382319422
"jbeef","ARM","QN",-6.79230382319422
"jbeef","ARM","ARA",556.363321940104
"jbeef","ARM","YLD",0.12079072660594
"jbeef","AUS","QS",1969.76095039545
"jbeef","AUS","QD",755.059845329205
"jbeef","AUS","QF",755.059845329205
"jbeef","AUS","QE",1214.70110506625
"jbeef","AUS","QN",1214.70110506625
"jbeef","AUS","ARA",6658.93343098958
"jbeef","AUS","YLD",0.295807274664815
"jbeef","AUT","QS",214.115613942379
"jbeef","AUT","QD",129.984408116653
"jbeef","AUT","QF",129.984408116653
"jbeef","AUT","QE",84.1312058257254
"jbeef","AUT","QN",84.1312058257254
"jbeef","AUT","ARA",642.59999593099
"jbeef","AUT","YLD",0.333202015714568
"jbeef","AZE","QS",145.581812277473
"jbeef","AZE","QD",148.314139970902
"jbeef","AZE","QF",148.314139970902
"jbeef","AZE","QM",2.73232769342928
"jbeef","AZE","QN",-2.73232769342928
"jbeef","AZE","ARA",1302.04366048177
"jbeef","AZE","YLD",0.111810238547305
"jbeef","BDI","QS",14.5842531862913
"jbeef","BDI","QD",15.3331563694741
"jbeef","BDI","QF",15.3331563694741
"jbeef","BDI","QM",0.748903183182748
"jbeef","BDI","QN",-0.748903183182748
"jbeef","BDI","ARA",70.8623326619466
"jbeef","BDI","YLD",0.205811079574059
"jbeef","BEN","QS",35.3067597511396
"jbeef","BEN","QD",37.6655396684288
"jbeef","BEN","QF",37.6655396684288
