"J","FPU","LND","RIQFPU","Val"
"jbarl","ALB_ALB","air","QS",0.0245787349615059
"jbarl","ALB_ALB","air","ARA",0.00747118189531391
"jbarl","ALB_ALB","air","YLD",3.28980545593759
"jbarl","ALB_ALB","arf","QS",15.6317558877676
"jbarl","ALB_ALB","arf","ARA",4.80552886133792
"jbarl","ALB_ALB","arf","YLD",3.2528690054346
"jbarl","ALK_USA","air","QS",5.28925374248829
"jbarl","ALK_USA","air","ARA",1.39791823546951
"jbarl","ALK_USA","air","YLD",3.78366460089265
"jbarl","ALK_USA","arf","QS",47.3272334464862
"jbarl","ALK_USA","arf","ARA",14.9125972186712
"jbarl","ALK_USA","arf","YLD",3.17364123448801
"jbarl","AMA_BOL","air","QS",3.07895009091872
"jbarl","AMA_BOL","air","ARA",2.21982542967329
"jbarl","AMA_BOL","air","YLD",1.38702352435519
"jbarl","AMA_BOL","arf","QS",30.9701230549568
"jbarl","AMA_BOL","arf","ARA",37.1089455726935
"jbarl","AMA_BOL","arf","YLD",0.834572973632159
"jbarl","AMA_BRA","air","QS",0.723096204720574
"jbarl","AMA_BRA","air","ARA",0.183043418870528
"jbarl","AMA_BRA","air","YLD",3.95040810088911
"jbarl","AMA_BRA","arf","QS",0.705299197799108
"jbarl","AMA_BRA","arf","ARA",0.180868282560766
"jbarl","AMA_BRA","arf","YLD",3.89951841093061
"jbarl","AMA_COL","air","QS",0.00991462499838239
"jbarl","AMA_COL","air","ARA",0.00428331064568195
"jbarl","AMA_COL","air","YLD",2.31471070359499
"jbarl","AMA_COL","arf","QS",0.01012030727161
"jbarl","AMA_COL","arf","ARA",0.00437196699114714
"jbarl","AMA_COL","arf","YLD",2.3148178593532
"jbarl","AMA_ECU","air","QS",2.08970394363813
"jbarl","AMA_ECU","air","ARA",1.14144043371607
"jbarl","AMA_ECU","air","YLD",1.83076039880144
"jbarl","AMA_ECU","arf","QS",3.7522910940948
"jbarl","AMA_ECU","arf","ARA",3.50530422228617
"jbarl","AMA_ECU","arf","YLD",1.07046089473157
"jbarl","AMA_PER","air","QS",83.4786468152452
"jbarl","AMA_PER","air","ARA",46.2836761338698
"jbarl","AMA_PER","air","YLD",1.8036304327641
"jbarl","AMA_PER","arf","QS",20.6130510697653
"jbarl","AMA_PER","arf","ARA",17.7261258848981
"jbarl","AMA_PER","arf","YLD",1.16286272610344
"jbarl","AMD_AFG","air","QS",33.895461702124
"jbarl","AMD_AFG","air","ARA",17.346539743595
"jbarl","AMD_AFG","air","YLD",1.95401862291524
"jbarl","AMD_AFG","arf","QS",24.7372557795347
"jbarl","AMD_AFG","arf","ARA",21.8432707151722
"jbarl","AMD_AFG","arf","YLD",1.13248863240761
"jbarl","AMD_TJK","air","QS",58.5988720095276
"jbarl","AMD_TJK","air","ARA",18.0311575537275
"jbarl","AMD_TJK","air","YLD",3.24986744943691
"jbarl","AMD_TJK","arf","QS",7.2874319810411
"jbarl","AMD_TJK","arf","ARA",3.0868952860556
"jbarl","AMD_TJK","arf","YLD",2.3607642325804
"jbarl","AMD_TKM","air","QS",85.6719147207741
"jbarl","AMD_TKM","air","ARA",36.9402189610102
"jbarl","AMD_TKM","air","YLD",2.31920430171785
"jbarl","AMD_TKM","arf","QS",0.212411564222943
"jbarl","AMD_TKM","arf","ARA",0.0922003828971382
"jbarl","AMD_TKM","arf","YLD",2.30380349352688
"jbarl","AMD_UZB","air","QS",55.8948495726838
"jbarl","AMD_UZB","air","ARA",41.8622269371332
"jbarl","AMD_UZB","air","YLD",1.33520965467566
"jbarl","AMD_UZB","arf","QS",0.198810521731436
"jbarl","AMD_UZB","arf","ARA",0.150437067412109
"jbarl","AMD_UZB","arf","YLD",1.32155276057604
"jbarl","AMR_CHM","air","QS",19.8792246265762
"jbarl","AMR_CHM","air","ARA",4.33906802152878
"jbarl","AMR_CHM","air","YLD",4.58145033171713
"jbarl","AMR_CHM","arf","QS",77.175867834112
"jbarl","AMR_CHM","arf","ARA",18.7747465150682
"jbarl","AMR_CHM","arf","YLD",4.11062102874051
"jbarl","AMR_RUS","air","QS",19.2994429588246
"jbarl","AMR_RUS","air","ARA",6.68281075906714
"jbarl","AMR_RUS","air","YLD",2.88792300943722
"jbarl","AMR_RUS","arf","QS",330.079074884328
"jbarl","AMR_RUS","arf","ARA",170.476162342851
"jbarl","AMR_RUS","arf","YLD",1.93621835656116
"jbarl","ARA_IRQ","air","QS",1.1258277371908
"jbarl","ARA_IRQ","air","ARA",0.721000364431737
"jbarl","ARA_IRQ","air","YLD",1.56148012224395
"jbarl","ARA_IRQ","arf","QS",17.4545718594399
"jbarl","ARA_IRQ","arf","ARA",11.1814750655969
"jbarl","ARA_IRQ","arf","YLD",1.56102587154569
"jbarl","ARK_USA","air","QS",26.7892436521256
"jbarl","ARK_USA","air","ARA",4.77013540436049
"jbarl","ARK_USA","air","YLD",5.61603421731737
"jbarl","ARK_USA","arf","QS",44.8902845022875
"jbarl","ARK_USA","arf","ARA",14.1497692228322
"jbarl","ARK_USA","arf","YLD",3.17251001025883
"jbarl","ARM_ARM","air","QS",32.7549600049541
"jbarl","ARM_ARM","air","ARA",16.8077641037974
"jbarl","ARM_ARM","air","YLD",1.94879936454806
"jbarl","ARM_ARM","arf","QS",34.886893901274
"jbarl","ARM_ARM","arf","ARA",29.7992356113718
"jbarl","ARM_ARM","arf","YLD",1.17073116761292
"jbarl","AZE_AZE","air","QS",1057.8947665652
"jbarl","AZE_AZE","air","ARA",366.570615867093
"jbarl","AZE_AZE","air","YLD",2.88592353225814
"jbarl","AZE_AZE","arf","QS",1.6467522923319
"jbarl","AZE_AZE","arf","ARA",0.575380226657047
