"C","CTY","J","Val"
"cmilk","AFG","jbeef",0.00517922937613189
"cmilk","AFG","jpork",0.00517922937613189
"cmilk","AFG","jlamb",0.00517922937613189
"cmilk","AFG","jpoul",0.00517922937613189
"cmilk","AFG","jeggs",0.00517922937613189
"cmilk","AFG","jmilk",0.00517922937613189
"cmilk","ALB","jbeef",0.0277740338492647
"cmilk","ALB","jpork",0.0277740338492647
"cmilk","ALB","jlamb",0.0277740338492647
"cmilk","ALB","jpoul",0.0277740338492647
"cmilk","ALB","jeggs",0.0277740338492647
"cmilk","ALB","jmilk",0.0277740338492647
"cmilk","ARM","jbeef",0.112241007654263
"cmilk","ARM","jpork",0.112241007654263
"cmilk","ARM","jlamb",0.112241007654263
"cmilk","ARM","jpoul",0.112241007654263
"cmilk","ARM","jeggs",0.112241007654263
"cmilk","ARM","jmilk",0.112241007654263
"cmilk","AUS","jbeef",0.00407399073330068
"cmilk","AUS","jpork",0.00407399073330068
"cmilk","AUS","jlamb",0.00407399073330068
"cmilk","AUS","jpoul",0.00407399073330068
"cmilk","AUS","jeggs",0.00407399073330068
"cmilk","AUS","jmilk",0.00407399073330068
"cmilk","AUT","jbeef",0.10530279275355
"cmilk","AUT","jpork",0.10530279275355
"cmilk","AUT","jlamb",0.10530279275355
"cmilk","AUT","jpoul",0.10530279275355
"cmilk","AUT","jeggs",0.10530279275355
"cmilk","AUT","jmilk",0.10530279275355
"cmilk","AZE","jbeef",0.112241007654263
"cmilk","AZE","jpork",0.112241007654263
"cmilk","AZE","jlamb",0.112241007654263
"cmilk","AZE","jpoul",0.112241007654263
"cmilk","AZE","jeggs",0.112241007654263
"cmilk","AZE","jmilk",0.112241007654263
"cmilk","BGR","jbeef",0.0441474851592099
"cmilk","BGR","jpork",0.0441474851592099
"cmilk","BGR","jlamb",0.0441474851592099
"cmilk","BGR","jpoul",0.0441474851592099
"cmilk","BGR","jeggs",0.0441474851592099
"cmilk","BGR","jmilk",0.0441474851592099
"cmilk","BLR","jbeef",0.217802275703692
"cmilk","BLR","jpork",0.217802275703692
"cmilk","BLR","jlamb",0.217802275703692
"cmilk","BLR","jpoul",0.217802275703692
"cmilk","BLR","jeggs",0.217802275703692
"cmilk","BLR","jmilk",0.217802275703692
"cmilk","BLT","jbeef",0.217802275703692
"cmilk","BLT","jpork",0.217802275703692
"cmilk","BLT","jlamb",0.217802275703692
"cmilk","BLT","jpoul",0.217802275703692
"cmilk","BLT","jeggs",0.217802275703692
"cmilk","BLT","jmilk",0.217802275703692
"cmilk","BLX","jbeef",0.0303735403547383
"cmilk","BLX","jpork",0.0303735403547383
"cmilk","BLX","jlamb",0.0303735403547383
"cmilk","BLX","jpoul",0.0303735403547383
"cmilk","BLX","jeggs",0.0303735403547383
"cmilk","BLX","jmilk",0.0303735403547383
"cmilk","BRA","jbeef",0.00558694474716172
"cmilk","BRA","jpork",0.00558694474716172
"cmilk","BRA","jlamb",0.00558694474716172
"cmilk","BRA","jpoul",0.00558694474716172
"cmilk","BRA","jeggs",0.00558694474716172
"cmilk","BRA","jmilk",0.00558694474716172
"cmilk","CHL","jbeef",0.052865059179677
"cmilk","CHL","jpork",0.052865059179677
"cmilk","CHL","jlamb",0.052865059179677
"cmilk","CHL","jpoul",0.052865059179677
"cmilk","CHL","jeggs",0.052865059179677
"cmilk","CHL","jmilk",0.052865059179677
"cmilk","CHM","jbeef",0.00144966382349357
"cmilk","CHM","jpork",0.00144966382349357
"cmilk","CHM","jlamb",0.00144966382349357
"cmilk","CHM","jpoul",0.00144966382349357
"cmilk","CHM","jeggs",0.00144966382349357
"cmilk","CHM","jmilk",0.00144966382349357
"cmilk","CHP","jbeef",0.10530279275355
"cmilk","CHP","jpork",0.10530279275355
"cmilk","CHP","jlamb",0.10530279275355
"cmilk","CHP","jpoul",0.10530279275355
"cmilk","CHP","jeggs",0.10530279275355
"cmilk","CHP","jmilk",0.10530279275355
"cmilk","COL","jbeef",0.0308797590786562
"cmilk","COL","jpork",0.0308797590786562
"cmilk","COL","jlamb",0.0308797590786562
"cmilk","COL","jpoul",0.0308797590786562
"cmilk","COL","jeggs",0.0308797590786562
"cmilk","COL","jmilk",0.0308797590786562
"cmilk","CRB","jbeef",0.00425284920747378
"cmilk","CRB","jpork",0.00425284920747378
"cmilk","CRB","jlamb",0.00425284920747378
"cmilk","CRB","jpoul",0.00425284920747378
