"C","H","CTY","YRS","Val"
"cbeef","Urban","AFG","2021",0.798419522948546
"cbeef","Urban","AFG","2022",0.78505899499209
"cbeef","Urban","AFG","2023",0.783858710669437
"cbeef","Urban","AFG","2024",0.782663039039207
"cbeef","Urban","AFG","2025",0.78147399393768
"cbeef","Urban","AFG","2026",0.78021705391472
"cbeef","Urban","AFG","2027",0.778972915173795
"cbeef","Urban","AFG","2028",0.777744620303529
"cbeef","Urban","AFG","2029",0.776535447728516
"cbeef","Urban","AFG","2030",0.775348926782225
"cbeef","Urban","AFG","2031",0.774115877719314
"cbeef","Urban","AFG","2032",0.7729176830336
"cbeef","Urban","AFG","2033",0.77175965348221
"cbeef","Urban","AFG","2034",0.770647513736738
"cbeef","Urban","AFG","2035",0.769587430039268
"cbeef","Urban","AFG","2036",0.768533592651235
"cbeef","Urban","AFG","2037",0.767553367643101
"cbeef","Urban","AFG","2038",0.766655799632903
"cbeef","Urban","AFG","2039",0.765850643025476
"cbeef","Urban","AFG","2040",0.76514841125351
"cbeef","Urban","AFG","2041",0.764620802169245
"cbeef","Urban","AFG","2042",0.764191527270293
"cbeef","Urban","AFG","2043",0.763869626415834
"cbeef","Urban","AFG","2044",0.763664743335989
"cbeef","Urban","AFG","2045",0.763587162148157
"cbeef","Urban","AFG","2046",0.763587162148157
"cbeef","Urban","AFG","2047",0.763587162148157
"cbeef","Urban","AFG","2048",0.763587162148157
"cbeef","Urban","AFG","2049",0.763587162148157
"cbeef","Urban","AFG","2050",0.763587162148157
"cbeef","Urban","AGO","2021",1.04247163815604
"cbeef","Urban","AGO","2022",0.936221638156038
"cbeef","Urban","AGO","2023",0.929971638156039
"cbeef","Urban","AGO","2024",0.923721638156039
"cbeef","Urban","AGO","2025",0.917471638156039
"cbeef","Urban","AGO","2026",0.911221638156039
"cbeef","Urban","AGO","2027",0.904971638156039
"cbeef","Urban","AGO","2028",0.898721638156039
"cbeef","Urban","AGO","2029",0.892471638156039
"cbeef","Urban","AGO","2030",0.886221638156039
"cbeef","Urban","AGO","2031",0.87997163815604
"cbeef","Urban","AGO","2032",0.87372163815604
"cbeef","Urban","AGO","2033",0.86747163815604
"cbeef","Urban","AGO","2034",0.86122163815604
"cbeef","Urban","AGO","2035",0.85497163815604
"cbeef","Urban","AGO","2036",0.84872163815604
"cbeef","Urban","AGO","2037",0.84247163815604
"cbeef","Urban","AGO","2038",0.83622163815604
"cbeef","Urban","AGO","2039",0.82997163815604
"cbeef","Urban","AGO","2040",0.82372163815604
"cbeef","Urban","AGO","2041",0.81747163815604
"cbeef","Urban","AGO","2042",0.81122163815604
"cbeef","Urban","AGO","2043",0.80497163815604
"cbeef","Urban","AGO","2044",0.79872163815604
"cbeef","Urban","AGO","2045",0.792471638156039
"cbeef","Urban","AGO","2046",0.78622163815604
"cbeef","Urban","AGO","2047",0.77997163815604
"cbeef","Urban","AGO","2048",0.77372163815604
"cbeef","Urban","AGO","2049",0.76747163815604
"cbeef","Urban","AGO","2050",0.76122163815604
"cbeef","Urban","ALB","2021",0.21727229958793
"cbeef","Urban","ALB","2022",0.185749262946364
"cbeef","Urban","ALB","2023",0.183688620245747
"cbeef","Urban","ALB","2024",0.181605225203137
"cbeef","Urban","ALB","2025",0.17950093971041
"cbeef","Urban","ALB","2026",0.177281490271464
"cbeef","Urban","ALB","2027",0.175044144359488
"cbeef","Urban","ALB","2028",0.172791855425682
"cbeef","Urban","ALB","2029",0.170527904158519
"cbeef","Urban","ALB","2030",0.168255924273437
"cbeef","Urban","ALB","2031",0.165934601808051
"cbeef","Urban","ALB","2032",0.163613803920995
"cbeef","Urban","ALB","2033",0.161298708339317
"cbeef","Urban","ALB","2034",0.158995009158716
"cbeef","Urban","ALB","2035",0.156708957023891
"cbeef","Urban","ALB","2036",0.154355058503848
"cbeef","Urban","ALB","2037",0.152036192942705
"cbeef","Urban","ALB","2038",0.149761654737421
"cbeef","Urban","ALB","2039",0.147541622553573
"cbeef","Urban","ALB","2040",0.145387229159148
"cbeef","Urban","ALB","2041",0.143450165221691
"cbeef","Urban","ALB","2042",0.141591288728729
"cbeef","Urban","ALB","2043",0.13982218860464
"cbeef","Urban","ALB","2044",0.138155414067793
"cbeef","Urban","ALB","2045",0.136604543608197
"cbeef","Urban","ALB","2046",0.135159322921195
"cbeef","Urban","ALB","2047",0.133866337601082
"cbeef","Urban","ALB","2048",0.132743723058274
"cbeef","Urban","ALB","2049",0.131811076792187
"cbeef","Urban","ALB","2050",0.131089563646545
"cbeef","Urban","ARG","2021",0.0883428476252885
"cbeef","Urban","ARG","2022",0.0666151617590867
"cbeef","Urban","ARG","2023",0.0654490101414958
"cbeef","Urban","ARG","2024",0.0642945200400809
"cbeef","Urban","ARG","2025",0.0631515748396801
"cbeef","Urban","ARG","2026",0.0620200590912833
"cbeef","Urban","ARG","2027",0.0608998585003704
"cbeef","Urban","ARG","2028",0.0597908599153667
"cbeef","Urban","ARG","2029",0.0586929513162131
"cbeef","Urban","ARG","2030",0.0576060218030509
"cbeef","Urban","ARG","2031",0.0565299615850204
"cbeef","Urban","ARG","2032",0.0554646619691702
"cbeef","Urban","ARG","2033",0.0544100153494785
"cbeef","Urban","ARG","2034",0.0533659151959837
"cbeef","Urban","ARG","2035",0.0523322560440239
"cbeef","Urban","ARG","2036",0.0513089334835836
"cbeef","Urban","ARG","2037",0.0502958441487478
"cbeef","Urban","ARG","2038",0.0492928857072603
"cbeef","Urban","ARG","2039",0.0482999568501877
"cbeef","Urban","ARG","2040",0.0473169572816858
"cbeef","Urban","ARG","2041",0.046343787708869
"cbeef","Urban","ARG","2042",0.0453803498317803
"cbeef","Urban","ARG","2043",0.0444265463334625
"cbeef","Urban","ARG","2044",0.0434822808701279
"cbeef","Urban","ARG","2045",0.0425474580614266
"cbeef","Urban","ARG","2046",0.0416219834808123
"cbeef","Urban","ARG","2047",0.0407057636460042
"cbeef","Urban","ARG","2048",0.0397987060095442
"cbeef","Urban","ARG","2049",0.0389007189494487
"cbeef","Urban","ARG","2050",0.0380117117599542
"cbeef","Urban","ARM","2021",0.583003295821582
"cbeef","Urban","ARM","2022",0.491438659933199
"cbeef","Urban","ARM","2023",0.486524273333867
"cbeef","Urban","ARM","2024",0.481659030600528
"cbeef","Urban","ARM","2025",0.476842440294523
"cbeef","Urban","ARM","2026",0.472074015891578
"cbeef","Urban","ARM","2027",0.467353275732662
"cbeef","Urban","ARM","2028",0.462679742975335
"cbeef","Urban","ARM","2029",0.458052945545582
"cbeef","Urban","ARM","2030",0.453472416090126
"cbeef","Urban","ARM","2031",0.448937691929225
"cbeef","Urban","ARM","2032",0.444448315009933
"cbeef","Urban","ARM","2033",0.440003831859833
"cbeef","Urban","ARM","2034",0.435603793541235
"cbeef","Urban","ARM","2035",0.431247755605823
"cbeef","Urban","ARM","2036",0.426935278049764
"cbeef","Urban","ARM","2037",0.422665925269267
"cbeef","Urban","ARM","2038",0.418439266016574
"cbeef","Urban","ARM","2039",0.414254873356408
"cbeef","Urban","ARM","2040",0.410112324622844
"cbeef","Urban","ARM","2041",0.406011201376616
"cbeef","Urban","ARM","2042",0.40195108936285
"cbeef","Urban","ARM","2043",0.397931578469221
"cbeef","Urban","ARM","2044",0.393952262684529
"cbeef","Urban","ARM","2045",0.390012740057684
"cbeef","Urban","ARM","2046",0.386112612657107
"cbeef","Urban","ARM","2047",0.382251486530536
"cbeef","Urban","ARM","2048",0.37842897166523
