"C","CC","CTY","Val"
"cbeef","cbeef","ARG",-0.302887770921256
"cbeef","cbeef","ARM",-0.17729798814
"cbeef","cbeef","BGR",-0.232724963722447
"cbeef","cbeef","BLR",-0.253156842490651
"cbeef","cbeef","BLT",-0.253156842490651
"cbeef","cbeef","CHM",-0.35376997010807
"cbeef","cbeef","COL",-0.30141828872498
"cbeef","cbeef","CYP",-0.230091272764645
"cbeef","cbeef","DEU",-0.289975776451971
"cbeef","cbeef","GTM",-0.323654338486389
"cbeef","cbeef","HUN",-0.232724963722447
"cbeef","cbeef","IRL",-0.289925349108818
"cbeef","cbeef","IRN",-0.189127965275508
"cbeef","cbeef","JOR",-0.191597941279001
"cbeef","cbeef","JPN",-0.327964415528638
"cbeef","cbeef","KAZ",-0.252869309983313
"cbeef","cbeef","MNG",-0.148100553588099
"cbeef","cbeef","PAN",-0.323654338486389
"cbeef","cbeef","PER",-0.319546953734502
"cbeef","cbeef","RAP",-0.207140440665935
"cbeef","cbeef","ROU",-0.232724963722447
"cbeef","cbeef","RUS",-0.254120263430906
"cbeef","cbeef","SAU",-0.207140440665935
"cbeef","cbeef","SDN",-0.364592845619606
"cbeef","cbeef","SPP",-0.289951539967305
"cbeef","cbeef","TCD",-0.44875
"cbeef","cbeef","TJK",-0.17729798814
"cbeef","cbeef","TKM",-0.252337401047197
"cbeef","cbeef","UKR",-0.253121215836727
"cbeef","cbeef","VEN",-0.327824012237465
"cbeef","cpork","BLT",0.03
"cbeef","cpork","CYP",0.03
"cbeef","cpork","JPN",0.03
"cbeef","cpork","PAN",0.03
"cbeef","cpork","PER",0.03
"cbeef","cpork","ROU",0.03
"cbeef","cpork","RUS",0.03
"cbeef","clamb","IRN",0.03
"cbeef","clamb","MNG",0.03
"cbeef","clamb","PER",0.03
"cbeef","clamb","RAP",0.03
"cbeef","clamb","ROU",0.03
"cbeef","clamb","SDN",0.03
"cbeef","clamb","TCD",0.03
"cbeef","clamb","TJK",0.03
"cbeef","clamb","TKM",0.03
"cbeef","cpoul","BGR",0.03
"cbeef","cpoul","BLR",0.03
"cbeef","cpoul","BLT",0.03
"cbeef","cpoul","CYP",0.03
"cbeef","cpoul","DEU",0.03
"cbeef","cpoul","GTM",0.03
"cbeef","cpoul","HUN",0.03
"cbeef","cpoul","IRL",0.03
"cbeef","cpoul","JPN",0.03
"cbeef","cpoul","PAN",0.03
"cbeef","cpoul","PER",0.03
"cbeef","cpoul","RAP",0.03
"cbeef","cpoul","ROU",0.03
"cbeef","cpoul","RUS",0.03
"cbeef","cpoul","SPP",0.03
"cbeef","cpoul","TCD",0.03
"cbeef","cpoul","TJK",0.03
"cbeef","cpoul","TKM",0.03
"cbeef","cpoul","UKR",0.03
"cbeef","ceggs","ARG",0.003
"cbeef","ceggs","ARM",0.003
"cbeef","ceggs","BGR",0.003
"cbeef","ceggs","BLR",0.003
"cbeef","ceggs","BLT",0.003
"cbeef","ceggs","CHM",0.003
"cbeef","ceggs","COL",0.003
"cbeef","ceggs","CYP",0.003
"cbeef","ceggs","DEU",0.003
"cbeef","ceggs","GTM",0.003
"cbeef","ceggs","HUN",0.003
"cbeef","ceggs","IRL",0.003
"cbeef","ceggs","IRN",0.003
"cbeef","ceggs","JOR",0.003
"cbeef","ceggs","JPN",0.003
"cbeef","ceggs","KAZ",0.003
"cbeef","ceggs","MNG",0.003
"cbeef","ceggs","PAN",0.003
"cbeef","ceggs","PER",0.003
"cbeef","ceggs","RAP",0.003
"cbeef","ceggs","ROU",0.003
"cbeef","ceggs","RUS",0.003
"cbeef","ceggs","SAU",0.003
"cbeef","ceggs","SDN",0.003
"cbeef","ceggs","SPP",0.003
"cbeef","ceggs","TJK",0.003
"cbeef","ceggs","TKM",0.003
"cbeef","ceggs","UKR",0.003
"cbeef","ceggs","VEN",0.003
"cbeef","cmilk","ARG",0.003
"cbeef","cmilk","ARM",0.003
"cbeef","cmilk","BGR",0.003
"cbeef","cmilk","BLR",0.003
"cbeef","cmilk","BLT",0.003
"cbeef","cmilk","CHM",0.003
"cbeef","cmilk","COL",0.003
"cbeef","cmilk","CYP",0.003
"cbeef","cmilk","DEU",0.003
"cbeef","cmilk","GTM",0.003
"cbeef","cmilk","HUN",0.003
"cbeef","cmilk","IRL",0.003
"cbeef","cmilk","IRN",0.003
"cbeef","cmilk","JOR",0.003
"cbeef","cmilk","JPN",0.003
"cbeef","cmilk","KAZ",0.003
"cbeef","cmilk","MNG",0.003
"cbeef","cmilk","PAN",0.003
"cbeef","cmilk","PER",0.003
"cbeef","cmilk","RAP",0.003
"cbeef","cmilk","ROU",0.003
"cbeef","cmilk","RUS",0.003
"cbeef","cmilk","SAU",0.003
"cbeef","cmilk","SDN",0.003
"cbeef","cmilk","SPP",0.003
"cbeef","cmilk","TCD",0.003
"cbeef","cmilk","TJK",0.003
"cbeef","cmilk","TKM",0.003
"cbeef","cmilk","UKR",0.003
"cbeef","cmilk","VEN",0.003
"cbeef","cgrnd","ARG",0.003
"cbeef","cgrnd","CHM",0.003
"cbeef","cgrnd","COL",0.003
"cbeef","cgrnd","GTM",0.003
