"J","JJ","CTY","Val"
"jbeef","jbeef","AFG",0.352
"jbeef","jbeef","AGO",0.33
"jbeef","jbeef","ALB",0.33
"jbeef","jbeef","ARG",0.55
"jbeef","jbeef","ARM",0.275
"jbeef","jbeef","AUS",0.495
"jbeef","jbeef","AUT",0.385
"jbeef","jbeef","AZE",0.275
"jbeef","jbeef","BDI",0.385
"jbeef","jbeef","BEN",0.275
"jbeef","jbeef","BFA",0.33
"jbeef","jbeef","BGD",0.374
"jbeef","jbeef","BGR",0.33
"jbeef","jbeef","BLR",0.275
"jbeef","jbeef","BLT",0.275
"jbeef","jbeef","BLX",0.385
"jbeef","jbeef","BLZ",0.484
"jbeef","jbeef","BOL",0.484
"jbeef","jbeef","BRA",0.55
"jbeef","jbeef","BTN",0.352
"jbeef","jbeef","BWA",0.33
"jbeef","jbeef","CAF",0.275
"jbeef","jbeef","CAN",0.418
"jbeef","jbeef","CHL",0.484
"jbeef","jbeef","CHM",0.33
"jbeef","jbeef","CHP",0.385
"jbeef","jbeef","CIV",0.275
"jbeef","jbeef","CMR",0.275
"jbeef","jbeef","COD",0.275
"jbeef","jbeef","COG",0.275
"jbeef","jbeef","COL",0.231
"jbeef","jbeef","CRB",0.275
"jbeef","jbeef","CRI",0.484
"jbeef","jbeef","CUB",0.484
"jbeef","jbeef","CYP",0.231
"jbeef","jbeef","CZE",0.33
"jbeef","jbeef","DEU",0.385
"jbeef","jbeef","DJI",0.33
"jbeef","jbeef","DNK",0.385
"jbeef","jbeef","DOM",0.484
"jbeef","jbeef","DZA",0.231
"jbeef","jbeef","ECU",0.484
"jbeef","jbeef","EGY",0.352
"jbeef","jbeef","ERI",0.33
"jbeef","jbeef","ETH",0.33
"jbeef","jbeef","FJI",0.275
"jbeef","jbeef","FNP",0.385
"jbeef","jbeef","FRP",0.385
"jbeef","jbeef","GAB",0.275
"jbeef","jbeef","GEO",0.275
"jbeef","jbeef","GHA",0.275
"jbeef","jbeef","GIN",0.275
"jbeef","jbeef","GMB",0.275
"jbeef","jbeef","GNB",0.275
"jbeef","jbeef","GNQ",0.275
"jbeef","jbeef","GRC",0.33
"jbeef","jbeef","GSA",0.484
"jbeef","jbeef","GTM",0.484
"jbeef","jbeef","HND",0.484
"jbeef","jbeef","HRV",0.33
"jbeef","jbeef","HTI",0.484
"jbeef","jbeef","HUN",0.33
"jbeef","jbeef","IDN",0.275
"jbeef","jbeef","IND",0.22
"jbeef","jbeef","IRL",0.385
"jbeef","jbeef","IRN",0.231
"jbeef","jbeef","IRQ",0.231
"jbeef","jbeef","ISL",0.385
"jbeef","jbeef","ISR",0.418
"jbeef","jbeef","ITP",0.385
"jbeef","jbeef","JAM",0.275
"jbeef","jbeef","JOR",0.231
"jbeef","jbeef","JPN",0.33
"jbeef","jbeef","KAZ",0.275
"jbeef","jbeef","KEN",0.385
"jbeef","jbeef","KGZ",0.275
"jbeef","jbeef","KHM",0.165
"jbeef","jbeef","KOR",0.385
"jbeef","jbeef","LAO",0.165
"jbeef","jbeef","LBN",0.231
"jbeef","jbeef","LBR",0.275
"jbeef","jbeef","LBY",0.231
"jbeef","jbeef","LKA",0.352
"jbeef","jbeef","LSO",0.33
"jbeef","jbeef","MDA",0.33
"jbeef","jbeef","MDG",0.33
"jbeef","jbeef","MEX",0.33
"jbeef","jbeef","MLI",0.33
"jbeef","jbeef","MMR",0.176
"jbeef","jbeef","MNG",0.44
"jbeef","jbeef","MOR",0.231
"jbeef","jbeef","MOZ",0.33
