"J","J_1","CTY","Val"
"jsugrc","jsugrc","AFG",1.25
"jsugrc","jsugrc","AGO",1.25
"jsugrc","jsugrc","ARG",1.25
"jsugrc","jsugrc","AUS",1.25
"jsugrc","jsugrc","BDI",1.25
"jsugrc","jsugrc","BEN",1.25
"jsugrc","jsugrc","BFA",1.25
"jsugrc","jsugrc","BGD",1.25
"jsugrc","jsugrc","BLZ",1.25
"jsugrc","jsugrc","BOL",1.25
"jsugrc","jsugrc","BRA",1.25
"jsugrc","jsugrc","BTN",1.25
"jsugrc","jsugrc","CAF",1.25
"jsugrc","jsugrc","CHM",1.25
"jsugrc","jsugrc","CIV",1.25
"jsugrc","jsugrc","CMR",1.25
"jsugrc","jsugrc","COD",1.25
"jsugrc","jsugrc","COG",1.25
"jsugrc","jsugrc","COL",1.25
"jsugrc","jsugrc","CRB",1.25
"jsugrc","jsugrc","CRI",1.25
"jsugrc","jsugrc","CUB",1.25
"jsugrc","jsugrc","DJI",1.25
"jsugrc","jsugrc","DOM",1.25
"jsugrc","jsugrc","ECU",1.25
"jsugrc","jsugrc","EGY",1.25
"jsugrc","jsugrc","ETH",1.25
"jsugrc","jsugrc","FJI",1.25
"jsugrc","jsugrc","GAB",1.25
"jsugrc","jsugrc","GHA",1.25
"jsugrc","jsugrc","GIN",1.25
"jsugrc","jsugrc","GNB",1.25
"jsugrc","jsugrc","GSA",1.25
"jsugrc","jsugrc","GTM",1.25
"jsugrc","jsugrc","HND",1.25
"jsugrc","jsugrc","HTI",1.25
"jsugrc","jsugrc","IDN",1.25
"jsugrc","jsugrc","IND",1.25
"jsugrc","jsugrc","IRN",1.25
"jsugrc","jsugrc","JAM",1.25
"jsugrc","jsugrc","JPN",1.25
"jsugrc","jsugrc","KEN",1.25
"jsugrc","jsugrc","KHM",1.25
"jsugrc","jsugrc","LAO",1.25
"jsugrc","jsugrc","LBR",1.25
"jsugrc","jsugrc","LKA",1.25
"jsugrc","jsugrc","MDG",1.25
"jsugrc","jsugrc","MEX",1.25
"jsugrc","jsugrc","MLI",1.25
"jsugrc","jsugrc","MMR",1.25
"jsugrc","jsugrc","MOR",1.25
"jsugrc","jsugrc","MOZ",1.25
"jsugrc","jsugrc","MWI",1.25
"jsugrc","jsugrc","MYS",1.25
"jsugrc","jsugrc","NER",1.25
"jsugrc","jsugrc","NGA",1.25
"jsugrc","jsugrc","NIC",1.25
"jsugrc","jsugrc","NPL",1.25
"jsugrc","jsugrc","OAO",1.25
"jsugrc","jsugrc","OIO",1.25
"jsugrc","jsugrc","OPO",1.25
"jsugrc","jsugrc","OSA",1.25
"jsugrc","jsugrc","PAK",1.25
"jsugrc","jsugrc","PAN",1.25
"jsugrc","jsugrc","PER",1.25
"jsugrc","jsugrc","PHL",1.25
"jsugrc","jsugrc","PNG",1.25
"jsugrc","jsugrc","PRY",1.25
"jsugrc","jsugrc","RAP",1.25
"jsugrc","jsugrc","RWA",1.25
"jsugrc","jsugrc","SDN",1.25
"jsugrc","jsugrc","SEN",1.25
"jsugrc","jsugrc","SLE",1.25
"jsugrc","jsugrc","SLV",1.25
"jsugrc","jsugrc","SOM",1.25
"jsugrc","jsugrc","SWZ",1.25
"jsugrc","jsugrc","TCD",1.25
"jsugrc","jsugrc","THA",1.25
"jsugrc","jsugrc","TZA",1.25
"jsugrc","jsugrc","UGA",1.25
"jsugrc","jsugrc","URY",1.25
"jsugrc","jsugrc","USA",1.25
"jsugrc","jsugrc","VEN",1.25
"jsugrc","jsugrc","VNM",1.25
"jsugrc","jsugrc","VUT",1.25
"jsugrc","jsugrc","ZAF",1.25
"jsugrc","jsugrc","ZMB",1.25
"jsugrc","jsugrc","ZWE",1.25
"jsugrb","jsugrb","AFG",1.25
"jsugrb","jsugrb","ALB",1.25
"jsugrb","jsugrb","ARM",1.25
"jsugrb","jsugrb","AUT",1.25
"jsugrb","jsugrb","AZE",1.25
"jsugrb","jsugrb","BLR",1.25
"jsugrb","jsugrb","BLT",1.25
"jsugrb","jsugrb","BLX",1.25
"jsugrb","jsugrb","CAN",1.25
"jsugrb","jsugrb","CHL",1.25
"jsugrb","jsugrb","CHM",1.25
"jsugrb","jsugrb","CHP",1.25
"jsugrb","jsugrb","CZE",1.25
"jsugrb","jsugrb","DEU",1.25
"jsugrb","jsugrb","DNK",1.25
"jsugrb","jsugrb","EGY",1.25
"jsugrb","jsugrb","FNP",1.25
"jsugrb","jsugrb","FRP",1.25
"jsugrb","jsugrb","GRC",1.25
"jsugrb","jsugrb","HRV",1.25
"jsugrb","jsugrb","HUN",1.25
"jsugrb","jsugrb","IRN",1.25
"jsugrb","jsugrb","IRQ",1.25
"jsugrb","jsugrb","ITP",1.25
"jsugrb","jsugrb","JPN",1.25
"jsugrb","jsugrb","KAZ",1.25
"jsugrb","jsugrb","KGZ",1.25
"jsugrb","jsugrb","LBN",1.25
