"C","J","CTY","Val"
"csugc","jsugrc","AFG",-0.5
"csugc","jsugrc","AGO",-0.5
"csugc","jsugrc","ARG",-0.5
"csugc","jsugrc","AUS",-0.5
"csugc","jsugrc","BDI",-0.5
"csugc","jsugrc","BEN",-0.5
"csugc","jsugrc","BFA",-0.5
"csugc","jsugrc","BGD",-0.5
"csugc","jsugrc","BLZ",-0.5
"csugc","jsugrc","BOL",-0.5
"csugc","jsugrc","BRA",-0.5
"csugc","jsugrc","BTN",-0.5
"csugc","jsugrc","CAF",-0.5
"csugc","jsugrc","CHM",-0.5
"csugc","jsugrc","CIV",-0.5
"csugc","jsugrc","CMR",-0.5
"csugc","jsugrc","COD",-0.5
"csugc","jsugrc","COG",-0.5
"csugc","jsugrc","COL",-0.5
"csugc","jsugrc","CRB",-0.5
"csugc","jsugrc","CRI",-0.5
"csugc","jsugrc","CUB",-0.5
"csugc","jsugrc","DJI",-0.5
"csugc","jsugrc","DOM",-0.5
"csugc","jsugrc","ECU",-0.5
"csugc","jsugrc","EGY",-0.5
"csugc","jsugrc","ETH",-0.5
"csugc","jsugrc","FJI",-0.5
"csugc","jsugrc","GAB",-0.5
"csugc","jsugrc","GHA",-0.5
"csugc","jsugrc","GIN",-0.5
"csugc","jsugrc","GNB",-0.5
"csugc","jsugrc","GSA",-0.5
"csugc","jsugrc","GTM",-0.5
"csugc","jsugrc","HND",-0.5
"csugc","jsugrc","HTI",-0.5
"csugc","jsugrc","IDN",-0.5
"csugc","jsugrc","IND",-0.5
"csugc","jsugrc","IRN",-0.5
"csugc","jsugrc","JAM",-0.5
"csugc","jsugrc","JPN",-0.5
"csugc","jsugrc","KEN",-0.5
"csugc","jsugrc","KHM",-0.5
"csugc","jsugrc","LAO",-0.5
"csugc","jsugrc","LBR",-0.5
"csugc","jsugrc","LKA",-0.5
"csugc","jsugrc","MDG",-0.5
"csugc","jsugrc","MEX",-0.5
"csugc","jsugrc","MLI",-0.5
"csugc","jsugrc","MMR",-0.5
"csugc","jsugrc","MOR",-0.5
"csugc","jsugrc","MOZ",-0.5
"csugc","jsugrc","MWI",-0.5
"csugc","jsugrc","MYS",-0.5
"csugc","jsugrc","NER",-0.5
"csugc","jsugrc","NGA",-0.5
"csugc","jsugrc","NIC",-0.5
"csugc","jsugrc","NPL",-0.5
"csugc","jsugrc","OAO",-0.5
"csugc","jsugrc","OIO",-0.5
"csugc","jsugrc","OPO",-0.5
"csugc","jsugrc","OSA",-0.5
"csugc","jsugrc","PAK",-0.5
"csugc","jsugrc","PAN",-0.5
"csugc","jsugrc","PER",-0.5
"csugc","jsugrc","PHL",-0.5
"csugc","jsugrc","PNG",-0.5
"csugc","jsugrc","PRY",-0.5
"csugc","jsugrc","RAP",-0.5
"csugc","jsugrc","RWA",-0.5
"csugc","jsugrc","SDN",-0.5
"csugc","jsugrc","SEN",-0.5
"csugc","jsugrc","SLE",-0.5
"csugc","jsugrc","SLV",-0.5
"csugc","jsugrc","SOM",-0.5
"csugc","jsugrc","SWZ",-0.5
"csugc","jsugrc","TCD",-0.5
"csugc","jsugrc","THA",-0.5
"csugc","jsugrc","TZA",-0.5
"csugc","jsugrc","UGA",-0.5
"csugc","jsugrc","URY",-0.5
"csugc","jsugrc","USA",-0.5
"csugc","jsugrc","VEN",-0.5
"csugc","jsugrc","VNM",-0.5
"csugc","jsugrc","VUT",-0.5
"csugc","jsugrc","ZAF",-0.5
"csugc","jsugrc","ZMB",-0.5
"csugc","jsugrc","ZWE",-0.5
"csugb","jsugrb","AFG",-0.5
"csugb","jsugrb","ALB",-0.5
"csugb","jsugrb","ARM",-0.5
"csugb","jsugrb","AUT",-0.5
"csugb","jsugrb","AZE",-0.5
"csugb","jsugrb","BLR",-0.5
"csugb","jsugrb","BLT",-0.5
"csugb","jsugrb","BLX",-0.5
"csugb","jsugrb","CAN",-0.5
"csugb","jsugrb","CHL",-0.5
"csugb","jsugrb","CHM",-0.5
"csugb","jsugrb","CHP",-0.5
"csugb","jsugrb","CZE",-0.5
"csugb","jsugrb","DEU",-0.5
"csugb","jsugrb","DNK",-0.5
"csugb","jsugrb","EGY",-0.5
"csugb","jsugrb","FNP",-0.5
"csugb","jsugrb","FRP",-0.5
"csugb","jsugrb","GRC",-0.5
"csugb","jsugrb","HRV",-0.5
"csugb","jsugrb","HUN",-0.5
"csugb","jsugrb","IRN",-0.5
"csugb","jsugrb","IRQ",-0.5
"csugb","jsugrb","ITP",-0.5
"csugb","jsugrb","JPN",-0.5
"csugb","jsugrb","KAZ",-0.5
"csugb","jsugrb","KGZ",-0.5
"csugb","jsugrb","LBN",-0.5
"csugb","jsugrb","MDA",-0.5
"csugb","jsugrb","MOR",-0.5
"csugb","jsugrb","NLD",-0.5
"csugb","jsugrb","OBN",-0.5
"csugb","jsugrb","POL",-0.5
"csugb","jsugrb","ROU",-0.5
"csugb","jsugrb","RUS",-0.5
"csugb","jsugrb","SPP",-0.5
"csugb","jsugrb","SVK",-0.5
"csugb","jsugrb","SVN",-0.5
"csugb","jsugrb","SWE",-0.5
"csugb","jsugrb","SYR",-0.5
"csugb","jsugrb","TKM",-0.5
"csugb","jsugrb","TUN",-0.5
"csugb","jsugrb","TUR",-0.5
"csugb","jsugrb","UKP",-0.5
"csugb","jsugrb","UKR",-0.5
"csugb","jsugrb","USA",-0.5
"csugb","jsugrb","UZB",-0.5
"csugb","jsugrb","VEN",-0.5
"cgrnd","jgdolt","CRB",-0.5
"cgrnd","jgdolt","CUB",-0.5
"cgrnd","jgdolt","DZA",-0.5
"cgrnd","jgdolt","IRQ",-0.5
"cgrnd","jgdolt","LBN",-0.5
"cgrnd","jgdolt","MYS",-0.5
"cgrnd","jgdolt","SAU",-0.5
"cgrnd","jgdolt","THA",-0.5
"cgdnt","jgdoln","AGO",-0.5
"cgdnt","jgdoln","ARG",-0.5
"cgdnt","jgdoln","AUS",-0.5
