"J","FPU","FCTR","Val"
"jbarl","ALB_ALB","air",-0.672
"jbarl","ALB_ALB","arf",-0.56
"jbarl","ALK_USA","air",-0.72
"jbarl","ALK_USA","arf",-0.72
"jbarl","AMA_BOL","air",-0.696
"jbarl","AMA_BOL","arf",-0.522
"jbarl","AMA_BRA","air",-0.72
"jbarl","AMA_BRA","arf",-0.54
"jbarl","AMA_COL","air",-0.696
"jbarl","AMA_COL","arf",-0.522
"jbarl","AMA_ECU","air",-0.696
"jbarl","AMA_ECU","arf",-0.522
"jbarl","AMA_PER","air",-0.696
"jbarl","AMA_PER","arf",-0.522
"jbarl","AMD_AFG","air",-0.432
"jbarl","AMD_AFG","arf",-0.324
"jbarl","AMD_TJK","air",-0.648
"jbarl","AMD_TJK","arf",-0.486
"jbarl","AMD_TKM","air",-0.648
"jbarl","AMD_TKM","arf",-0.486
"jbarl","AMD_UZB","air",-0.648
"jbarl","AMD_UZB","arf",-0.486
"jbarl","AMR_CHM","air",-0.6
"jbarl","AMR_CHM","arf",-0.45
"jbarl","AMR_RUS","air",-0.768
"jbarl","AMR_RUS","arf",-0.576
"jbarl","ARA_IRQ","air",-0.6
"jbarl","ARA_IRQ","arf",-0.5
"jbarl","ARK_USA","air",-0.72
"jbarl","ARK_USA","arf",-0.72
"jbarl","ARM_ARM","air",-0.504
"jbarl","ARM_ARM","arf",-0.378
"jbarl","AZE_AZE","air",-0.504
"jbarl","AZE_AZE","arf",-0.378
"jbarl","BAL_BLT","air",-0.504
"jbarl","BAL_BLT","arf",-0.42
"jbarl","BAL_RUS","air",-0.768
"jbarl","BAL_RUS","arf",-0.576
"jbarl","BLA_RUS","air",-0.768
"jbarl","BLA_RUS","arf",-0.576
"jbarl","BLA_TUR","air",-0.72
"jbarl","BLA_TUR","arf",-0.54
"jbarl","BLA_UKR","air",-0.648
"jbarl","BLA_UKR","arf",-0.486
"jbarl","BRT_BGD","air",-0.408
"jbarl","BRT_BGD","arf",-0.306
"jbarl","BRT_BTN","air",-0.432
"jbarl","BRT_BTN","arf",-0.324
"jbarl","BRT_CHM","air",-0.6
"jbarl","BRT_CHM","arf",-0.45
"jbarl","BRT_IND","air",-0.528
"jbarl","BRT_IND","arf",-0.528
"jbarl","CAL_USA","air",-0.72
"jbarl","CAL_USA","arf",-0.72
"jbarl","CAN_CAN","air",-0.9156
"jbarl","CAN_CAN","arf",-0.7848
"jbarl","CAU_AUS","air",-0.696
"jbarl","CAU_AUS","arf",-0.58
"jbarl","CAV_IND","air",-0.528
"jbarl","CAV_IND","arf",-0.528
"jbarl","CHC_CHL","air",-0.696
"jbarl","CHC_CHL","arf",-0.522
"jbarl","CHJ_CHM","air",-0.6
"jbarl","CHJ_CHM","arf",-0.45
"jbarl","CHO_IND","air",-0.528
"jbarl","CHO_IND","arf",-0.528
"jbarl","CHU_KAZ","air",-0.648
"jbarl","CHU_KAZ","arf",-0.486
"jbarl","CHU_KGZ","air",-0.648
"jbarl","CHU_KGZ","arf",-0.486
"jbarl","COB_CAN","air",-0.9156
"jbarl","COB_CAN","arf",-0.7848
"jbarl","COB_USA","air",-0.72
"jbarl","COB_USA","arf",-0.72
"jbarl","COL_USA","air",-0.72
"jbarl","COL_USA","arf",-0.72
"jbarl","CON_COD","air",-0.744
"jbarl","CON_COD","arf",-0.558
"jbarl","DAN_AUT","air",-0.864
"jbarl","DAN_AUT","arf",-0.72
"jbarl","DAN_BGR","air",-0.672
"jbarl","DAN_BGR","arf",-0.504
"jbarl","DAN_CZE","air",-0.672
"jbarl","DAN_CZE","arf",-0.56
"jbarl","DAN_DEU","air",-0.864
"jbarl","DAN_DEU","arf",-0.72
"jbarl","DAN_HRV","air",-0.616
"jbarl","DAN_HRV","arf",-0.56
"jbarl","DAN_HUN","air",-0.672
"jbarl","DAN_HUN","arf",-0.504
"jbarl","DAN_MDA","air",-0.672
"jbarl","DAN_MDA","arf",-0.504
"jbarl","DAN_OBN","air",-0.672
"jbarl","DAN_OBN","arf",-0.504
"jbarl","DAN_ROU","air",-0.672
"jbarl","DAN_ROU","arf",-0.504
"jbarl","DAN_SVK","air",-0.672
"jbarl","DAN_SVK","arf",-0.504
"jbarl","DAN_SVN","air",-0.504
"jbarl","DAN_SVN","arf",-0.504
"jbarl","DAN_TUR","air",-0.72
"jbarl","DAN_TUR","arf",-0.54
"jbarl","DAN_UKR","air",-0.648
"jbarl","DAN_UKR","arf",-0.486
"jbarl","DNI_BLR","air",-0.504
"jbarl","DNI_BLR","arf",-0.378
"jbarl","DNI_RUS","air",-0.768
"jbarl","DNI_RUS","arf",-0.576
"jbarl","DNI_UKR","air",-0.648
"jbarl","DNI_UKR","arf",-0.486
"jbarl","EAC_COD","air",-0.744
"jbarl","EAC_COD","arf",-0.558
"jbarl","EAC_TZA","air",-1.024
"jbarl","EAC_TZA","arf",-0.576
"jbarl","EAU_AUS","air",-0.696
"jbarl","EAU_AUS","arf",-0.58
"jbarl","EGH_IND","air",-0.528
"jbarl","EGH_IND","arf",-0.528
"jbarl","ELB_DEU","air",-0.864
"jbarl","ELB_DEU","arf",-0.72
"jbarl","ELB_DNK","air",-0.864
"jbarl","ELB_DNK","arf",-0.72
"jbarl","EME_CYP","air",-0.6
"jbarl","EME_CYP","arf",-0.45
"jbarl","EME_EGY","air",-0.648
"jbarl","EME_EGY","arf",-0.486
"jbarl","EME_ISR","air",-0.672
"jbarl","EME_ISR","arf",-0.56
"jbarl","EME_JOR","air",-0.6
"jbarl","EME_JOR","arf",-0.5
"jbarl","EME_LBN","air",-0.6
"jbarl","EME_LBN","arf",-0.45
"jbarl","EME_PSE","air",-0.806
"jbarl","EME_PSE","arf",-0.62
"jbarl","EME_SYR","air",-0.6
"jbarl","EME_SYR","arf",-0.45
"jbarl","EME_TUR","air",-0.72
"jbarl","EME_TUR","arf",-0.54
"jbarl","FNP_FNP","air",-0.864
"jbarl","FNP_FNP","arf",-0.648
"jbarl","GAN_BGD","air",-0.408
"jbarl","GAN_BGD","arf",-0.306
"jbarl","GAN_CHM","air",-0.6
"jbarl","GAN_CHM","arf",-0.45
"jbarl","GAN_IND","air",-0.528
"jbarl","GAN_IND","arf",-0.528
"jbarl","GAN_NPL","air",-0.432
"jbarl","GAN_NPL","arf",-0.324
"jbarl","GBA_USA","air",-0.72
"jbarl","GBA_USA","arf",-0.72
"jbarl","GEO_GEO","air",-0.504
"jbarl","GEO_GEO","arf",-0.378
"jbarl","GLA_CAN","air",-0.9156
"jbarl","GLA_CAN","arf",-0.7848
"jbarl","GLA_USA","air",-0.72
"jbarl","GLA_USA","arf",-0.72
"jbarl","GOD_IND","air",-0.528
"jbarl","GOD_IND","arf",-0.528
"jbarl","GRC_GRC","air",-0.672
"jbarl","GRC_GRC","arf",-0.56
"jbarl","GTM_GTM","air",-0.696
"jbarl","GTM_GTM","arf",-0.522
"jbarl","HAI_CHM","air",-0.6
"jbarl","HAI_CHM","arf",-0.45
"jbarl","HOA_ETH","air",-0.704
"jbarl","HOA_ETH","arf",-0.396
"jbarl","HOA_KEN","air",-1.024
"jbarl","HOA_KEN","arf",-0.576
"jbarl","HUA_CHM","air",-0.6
"jbarl","HUA_CHM","arf",-0.45
"jbarl","HUN_CHM","air",-0.6
"jbarl","HUN_CHM","arf",-0.45
"jbarl","HWI_USA","air",-0.72
"jbarl","HWI_USA","arf",-0.72
"jbarl","IEC_IND","air",-0.528
"jbarl","IEC_IND","arf",-0.528
"jbarl","IND_CHM","air",-0.6
"jbarl","IND_CHM","arf",-0.45
"jbarl","IND_IND","air",-0.528
"jbarl","IND_IND","arf",-0.528
"jbarl","IND_PAK","air",-0.432
"jbarl","IND_PAK","arf",-0.432
"jbarl","IRL_IRL","air",-0.864
"jbarl","IRL_IRL","arf",-0.648
"jbarl","ISL_ISL","air",-0.864
"jbarl","ISL_ISL","arf",-0.72
"jbarl","ITA_ITP","air",-0.864
"jbarl","ITA_ITP","arf",-0.72
"jbarl","JAP_JPN","air",-0.624
"jbarl","JAP_JPN","arf",-0.52
"jbarl","KAL_ZAF","air",-0.672
"jbarl","KAL_ZAF","arf",-0.504
"jbarl","KRI_IND","air",-0.528
"jbarl","KRI_IND","arf",-0.528
"jbarl","LAJ_CHM","air",-0.6
"jbarl","LAJ_CHM","arf",-0.45
"jbarl","LBA_KAZ","air",-0.648
"jbarl","LBA_KAZ","arf",-0.486
"jbarl","LBO_FRP","air",-0.864
"jbarl","LBO_FRP","arf",-0.72
"jbarl","LIM_ZAF","air",-0.672
"jbarl","LIM_ZAF","arf",-0.504
"jbarl","LIM_ZWE","air",-0.754
"jbarl","LIM_ZWE","arf",-0.58
"jbarl","LMO_CHM","air",-0.6
"jbarl","LMO_CHM","arf",-0.45
"jbarl","LMO_MNG","air",-0.384
"jbarl","LMO_MNG","arf",-0.288
"jbarl","LTZ_KAZ","air",-0.648
"jbarl","LTZ_KAZ","arf",-0.486
"jbarl","LUN_IND","air",-0.528
"jbarl","LUN_IND","arf",-0.528
"jbarl","MAT_IND","air",-0.528
"jbarl","MAT_IND","arf",-0.528
"jbarl","MAU_AUS","air",-0.696
"jbarl","MAU_AUS","arf",-0.58
"jbarl","MCK_CAN","air",-0.9156
"jbarl","MCK_CAN","arf",-0.7848
"jbarl","MEK_THA","air",-0.408
"jbarl","MEK_THA","arf",-0.306
"jbarl","MHN_IND","air",-0.528
"jbarl","MHN_IND","arf",-0.528
"jbarl","MIM_MEX","air",-0.72
"jbarl","MIM_MEX","arf",-0.6
"jbarl","MIS_USA","air",-0.72
"jbarl","MIS_USA","arf",-0.72
"jbarl","MOU_USA","air",-0.72
"jbarl","MOU_USA","arf",-0.72
"jbarl","NAC_DZA","air",-0.6
"jbarl","NAC_DZA","arf",-0.45
"jbarl","NAC_EGY","air",-0.648
"jbarl","NAC_EGY","arf",-0.486
"jbarl","NAC_LBY","air",-0.6
"jbarl","NAC_LBY","arf",-0.45
"jbarl","NAC_TUN","air",-0.6
"jbarl","NAC_TUN","arf",-0.5
"jbarl","NEB_BRA","air",-0.72
"jbarl","NEB_BRA","arf",-0.54
"jbarl","NER_RUS","air",-0.768
"jbarl","NER_RUS","arf",-0.576
"jbarl","NKP_PRK","air",-0.384
"jbarl","NKP_PRK","arf",-0.288
"jbarl","NLL_EGY","air",-0.648
"jbarl","NLL_EGY","arf",-0.486
"jbarl","NLL_ERI","air",-0.616
"jbarl","NLL_ERI","arf",-0.396
"jbarl","NLL_ETH","air",-0.704
"jbarl","NLL_ETH","arf",-0.396
"jbarl","NOR_NOR","air",-0.864
"jbarl","NOR_NOR","arf",-0.72
"jbarl","NWA_MOR","air",-0.6
"jbarl","NWA_MOR","arf",-0.45
"jbarl","NWA_MRT","air",-0.528
"jbarl","NWA_MRT","arf",-0.44
"jbarl","NWS_COL","air",-0.696
"jbarl","NWS_COL","arf",-0.522
"jbarl","NWS_ECU","air",-0.696
"jbarl","NWS_ECU","arf",-0.522
"jbarl","NZE_NZL","air",-0.672
"jbarl","NZE_NZL","arf",-0.504
"jbarl","OBB_CHM","air",-0.6
"jbarl","OBB_CHM","arf",-0.45
"jbarl","OBB_KAZ","air",-0.648
"jbarl","OBB_KAZ","arf",-0.486
