"SSP","CTY","YRS","Val"
"SSP1","AGO","2005",0.19468190743321
"SSP1","AGO","2006",0.191010447656188
"SSP1","AGO","2007",0.187408227065653
"SSP1","AGO","2008",0.183873939896258
"SSP1","AGO","2009",0.180406305007776
"SSP1","AGO","2010",0.177004065420698
"SSP1","AGO","2011",0.173399957528263
"SSP1","AGO","2012",0.169869235485297
"SSP1","AGO","2013",0.166410405029402
"SSP1","AGO","2014",0.163022002323937
"SSP1","AGO","2015",0.159702593338501
"SSP1","AGO","2016",0.156298361627915
"SSP1","AGO","2017",0.152966694759872
"SSP1","AGO","2018",0.149706045937085
"SSP1","AGO","2019",0.146514901333908
"SSP1","AGO","2020",0.143391779393508
"SSP1","AGO","2021",0.139692336903419
"SSP1","AGO","2022",0.136088338341813
"SSP1","AGO","2023",0.132577321298878
"SSP1","AGO","2024",0.129156886893854
"SSP1","AGO","2025",0.125824698136007
"SSP1","AGO","2026",0.122487996304132
"SSP1","AGO","2027",0.119239779318871
"SSP1","AGO","2028",0.116077700681054
"SSP1","AGO","2029",0.112999476117513
"SSP1","AGO","2030",0.110002881930936
"SSP1","AGO","2031",0.107809549952759
"SSP1","AGO","2032",0.105659950512149
"SSP1","AGO","2033",0.103553211632196
"SSP1","AGO","2034",0.101488478722213
"SSP1","AGO","2035",0.0994649142310784
"SSP1","AGO","2036",0.0973172408937624
"SSP1","AGO","2037",0.0952159407001774
"SSP1","AGO","2038",0.093160012348858
"SSP1","AGO","2039",0.0911484761587112
"SSP1","AGO","2040",0.089180373602183
"SSP1","AGO","2041",0.0871202910477623
"SSP1","AGO","2042",0.0851077967682009
"SSP1","AGO","2043",0.083141791465852
"SSP1","AGO","2044",0.0812212012370408
"SSP1","AGO","2045",0.0793449769854593
"SSP1","AGO","2046",0.0773944888917872
"SSP1","AGO","2047",0.075491948430695
"SSP1","AGO","2048",0.0736361769354287
"SSP1","AGO","2049",0.0718260247136641
"SSP1","AGO","2050",0.0700603703352468
"SSP1","ALB","2005",0.0725528630357179
"SSP1","ALB","2006",0.0709343832404474
"SSP1","ALB","2007",0.0693520078349708
"SSP1","ALB","2008",0.0678049314172273
"SSP1","ALB","2009",0.0662923665517381
"SSP1","ALB","2010",0.0648135433688152
"SSP1","ALB","2011",0.0624314449248681
"SSP1","ALB","2012",0.0601368959760067
"SSP1","ALB","2013",0.0579266788071491
"SSP1","ALB","2014",0.0557976939642077
"SSP1","ALB","2015",0.0537469559076316
"SSP1","ALB","2016",0.0528069315937384
"SSP1","ALB","2017",0.0518833481311602
"SSP1","ALB","2018",0.0509759179724496
"SSP1","ALB","2019",0.0500843585993107
"SSP1","ALB","2020",0.0492083924346407
"SSP1","ALB","2021",0.0481734329074038
"SSP1","ALB","2022",0.0471602408301896
"SSP1","ALB","2023",0.0461683583861773
"SSP1","ALB","2024",0.0451973373874294
"SSP1","ALB","2025",0.044246739072376
"SSP1","ALB","2026",0.0431045822539863
"SSP1","ALB","2027",0.0419919083359221
"SSP1","ALB","2028",0.0409079562655872
"SSP1","ALB","2029",0.0398519846357074
"SSP1","ALB","2030",0.0388232711772178
"SSP1","ALB","2031",0.0379733842653756
"SSP1","ALB","2032",0.0371421023742083
"SSP1","ALB","2033",0.0363290182180059
"SSP1","ALB","2034",0.0355337334270201
"SSP1","ALB","2035",0.034755858352283
"SSP1","ALB","2036",0.033907869747107
"SSP1","ALB","2037",0.0330805707381199
"SSP1","ALB","2038",0.0322734565315217
"SSP1","ALB","2039",0.0314860346496916
"SSP1","ALB","2040",0.0307178246306931
"SSP1","ALB","2041",0.0300112156960619
"SSP1","ALB","2042",0.029320861043513
"SSP1","ALB","2043",0.0286463867721896
"SSP1","ALB","2044",0.0279874275821595
"SSP1","ALB","2045",0.0273436265765656
"SSP1","ALB","2046",0.0267803753111179
"SSP1","ALB","2047",0.0262287264564602
"SSP1","ALB","2048",0.0256884410145744
"SSP1","ALB","2049",0.0251592849105616
"SSP1","ALB","2050",0.024641028891231
"SSP1","ARG","2005",0.0859206352940507
"SSP1","ARG","2006",0.0854885915497223
"SSP1","ARG","2007",0.0850587202962789
"SSP1","ARG","2008",0.0846310106095568
"SSP1","ARG","2009",0.0842054516203231
"SSP1","ARG","2010",0.0837820325140001
"SSP1","ARG","2011",0.0818906954588729
"SSP1","ARG","2012",0.0800420543822122
"SSP1","ARG","2013",0.0782351454438752
"SSP1","ARG","2014",0.0764690265619234
"SSP1","ARG","2015",0.0747427769214423
"SSP1","ARG","2016",0.0730330683829254
"SSP1","ARG","2017",0.0713624686841798
"SSP1","ARG","2018",0.0697300832274925
"SSP1","ARG","2019",0.0681350378786845
"SSP1","ARG","2020",0.0665764784990164
"SSP1","ARG","2021",0.065152270391234
"SSP1","ARG","2022",0.0637585290305671
"SSP1","ARG","2023",0.0623946026704945
"SSP1","ARG","2024",0.0610598535066965
"SSP1","ARG","2025",0.0597536573788023
"SSP1","ARG","2026",0.058500311023642
"SSP1","ARG","2027",0.0572732538891738
"SSP1","ARG","2028",0.0560719345531019
"SSP1","ARG","2029",0.0548958131593368
"SSP1","ARG","2030",0.0537443611753914
"SSP1","ARG","2031",0.053033523146315
"SSP1","ARG","2032",0.0523320868608361
"SSP1","ARG","2033",0.0516399279688509
"SSP1","ARG","2034",0.050956923764945
"SSP1","ARG","2035",0.0502829531666406
"SSP1","ARG","2036",0.0494875858313757
"SSP1","ARG","2037",0.0487047994834667
"SSP1","ARG","2038",0.0479343951189618
"SSP1","ARG","2039",0.0471761768817204
"SSP1","ARG","2040",0.0464299520136215
"SSP1","ARG","2041",0.0455577366682873
"SSP1","ARG","2042",0.0447019064273015
"SSP1","ARG","2043",0.043862153486352
"SSP1","ARG","2044",0.0430381758234206
"SSP1","ARG","2045",0.0422296770901596
"SSP1","ARG","2046",0.0413393311934979
"SSP1","ARG","2047",0.0404677568307509
"SSP1","ARG","2048",0.0396145582338391
"SSP1","ARG","2049",0.0387793479788266
"SSP1","ARG","2050",0.0379617468099981
"SSP1","ARM","2005",0.0680455569989208
"SSP1","ARM","2006",0.0690487745791766
"SSP1","ARM","2007",0.0700667829195897
"SSP1","ARM","2008",0.0710998000851045
"SSP1","ARM","2009",0.0721480473556675
"SSP1","ARM","2010",0.0732117492736264
"SSP1","ARM","2011",0.070767607705056
"SSP1","ARM","2012",0.068405062711714
"SSP1","ARM","2013",0.0661213902283603
"SSP1","ARM","2014",0.0639139571314568
"SSP1","ARM","2015",0.0617802182031193
"SSP1","ARM","2016",0.0599987758747726
"SSP1","ARM","2017",0.0582687017167162
"SSP1","ARM","2018",0.0565885145196641
"SSP1","ARM","2019",0.0549567757852338
"SSP1","ARM","2020",0.05337208849437
"SSP1","ARM","2021",0.0516912649340586
"SSP1","ARM","2022",0.0500633748061946
"SSP1","ARM","2023",0.0484867511016186
"SSP1","ARM","2024",0.0469597793095525
"SSP1","ARM","2025",0.0454808957642918
"SSP1","ARM","2026",0.044495607914897
"SSP1","ARM","2027",0.043531665118845
"SSP1","ARM","2028",0.042588604961723
"SSP1","ARM","2029",0.0416659750467598
"SSP1","ARM","2030",0.0407633327778054
"SSP1","ARM","2031",0.0404453970141597
"SSP1","ARM","2032",0.0401299410072689
"SSP1","ARM","2033",0.0398169454161393
"SSP1","ARM","2034",0.0395063910506284
"SSP1","ARM","2035",0.0391982588702684
"SSP1","ARM","2036",0.0387515533223437
"SSP1","ARM","2037",0.0383099384557986
"SSP1","ARM","2038",0.0378733562569439
"SSP1","ARM","2039",0.0374417493732173
"SSP1","ARM","2040",0.0370150611056496
"SSP1","ARM","2041",0.0363523144857809
"SSP1","ARM","2042",0.0357014342000212
"SSP1","ARM","2043",0.0350622077842389
"SSP1","ARM","2044",0.0344344265784261
"SSP1","ARM","2045",0.0338178856585872
"SSP1","ARM","2046",0.03306325048351
"SSP1","ARM","2047",0.0323254547481664
"SSP1","ARM","2048",0.0316041226859079
"SSP1","ARM","2049",0.0308988869151972
"SSP1","ARM","2050",0.0302093882524972
"SSP1","AUS","2005",0.0631227283257605
"SSP1","AUS","2006",0.0635820009065398
"SSP1","AUS","2007",0.0640446150935686
"SSP1","AUS","2008",0.0645105951999298
"SSP1","AUS","2009",0.0649799657156049
"SSP1","AUS","2010",0.0654527513087616
"SSP1","AUS","2011",0.0650811968646621
"SSP1","AUS","2012",0.0647117516169244
"SSP1","AUS","2013",0.0643444035923118
