"JJJ","FPU","LND","YRPER","Val"
"jbarl","ALB_ALB","air","2020-2025",-0.0171389605135659
"jbarl","ALB_ALB","air","2025-2030",-0.0612958718926323
"jbarl","ALB_ALB","air","2030-2035",-0.155708759273912
"jbarl","ALB_ALB","air","2035-2040",-0.26381760692392
"jbarl","ALB_ALB","air","2040-2045",-0.339114219681421
"jbarl","ALB_ALB","air","2045-2050",-0.444183442820098
"jbarl","ALB_ALB","arf","2005-2010",-0.3359
"jbarl","ALB_ALB","arf","2010-2015",-0.174
"jbarl","ALB_ALB","arf","2015-2020",-0.1595
"jbarl","ALB_ALB","arf","2020-2025",-0.2595
"jbarl","ALB_ALB","arf","2025-2030",-0.3095
"jbarl","ALB_ALB","arf","2030-2035",-0.4095
"jbarl","ALB_ALB","arf","2035-2040",-0.5095
"jbarl","ALB_ALB","arf","2040-2045",-0.6095
"jbarl","ALB_ALB","arf","2045-2050",-0.7095
"jbarl","ALK_USA","air","2035-2040",-0.0559792287384253
"jbarl","ALK_USA","air","2040-2045",-0.0775719360652575
"jbarl","ALK_USA","air","2045-2050",-0.182091933504
"jbarl","ALK_USA","arf","2005-2010",-0.301294626105774
"jbarl","ALK_USA","arf","2010-2015",-0.112111321647104
"jbarl","ALK_USA","arf","2015-2020",-0.0145234930651465
"jbarl","ALK_USA","arf","2020-2025",-0.0645234930651465
"jbarl","ALK_USA","arf","2025-2030",-0.114523493065146
"jbarl","ALK_USA","arf","2030-2035",-0.164523493065146
"jbarl","ALK_USA","arf","2035-2040",-0.264523493065146
"jbarl","ALK_USA","arf","2040-2045",-0.314523493065146
"jbarl","ALK_USA","arf","2045-2050",-0.414523493065147
"jbarl","AMA_BOL","arf","2035-2040",-0.00830000000000001
"jbarl","AMA_BOL","arf","2040-2045",-0.1083
"jbarl","AMA_BOL","arf","2045-2050",-0.2083
"jbarl","AMA_BRA","air","2005-2010",-0.27
"jbarl","AMA_BRA","air","2010-2015",-0.12
"jbarl","AMA_BRA","air","2015-2020",-0.12
"jbarl","AMA_BRA","air","2020-2025",-0.22
"jbarl","AMA_BRA","air","2025-2030",-0.27
"jbarl","AMA_BRA","air","2030-2035",-0.37
"jbarl","AMA_BRA","air","2035-2040",-0.47
"jbarl","AMA_BRA","air","2040-2045",-0.57
"jbarl","AMA_BRA","air","2045-2050",-0.67
"jbarl","AMA_BRA","arf","2030-2035",-0.0976
"jbarl","AMA_BRA","arf","2035-2040",-0.1976
"jbarl","AMA_BRA","arf","2040-2045",-0.2976
"jbarl","AMA_BRA","arf","2045-2050",-0.3976
"jbarl","AMA_COL","air","2030-2035",-0.0340421999597675
"jbarl","AMA_COL","air","2035-2040",-0.140837993440617
"jbarl","AMA_COL","air","2040-2045",-0.214219234557023
"jbarl","AMA_COL","air","2045-2050",-0.316906648988625
"jbarl","AMA_COL","arf","2020-2025",-0.0565
"jbarl","AMA_COL","arf","2025-2030",-0.1065
"jbarl","AMA_COL","arf","2030-2035",-0.2065
"jbarl","AMA_COL","arf","2035-2040",-0.3065
"jbarl","AMA_COL","arf","2040-2045",-0.4065
"jbarl","AMA_COL","arf","2045-2050",-0.5065
"jbarl","AMA_ECU","arf","2035-2040",-0.00830000000000001
"jbarl","AMA_ECU","arf","2040-2045",-0.1083
"jbarl","AMA_ECU","arf","2045-2050",-0.2083
"jbarl","AMA_PER","arf","2035-2040",-0.00830000000000001
