"JJJ","FPU","LND","YRPER","Val"
"jbarl","ALB_ALB","air","2005-2010",2.12478117413316
"jbarl","ALB_ALB","air","2010-2015",1.24309703320373
"jbarl","ALB_ALB","air","2015-2020",0.886283628642559
"jbarl","ALB_ALB","air","2020-2025",0.95705408602953
"jbarl","ALB_ALB","air","2025-2030",1.0084499605
"jbarl","ALB_ALB","air","2030-2035",1.02781029418111
"jbarl","ALB_ALB","air","2035-2040",1.08873602002859
"jbarl","ALB_ALB","air","2040-2045",1.19525939226151
"jbarl","ALB_ALB","air","2045-2050",1.22695760801435
"jbarl","ALB_ALB","arf","2005-2010",1.67771791460617
"jbarl","ALB_ALB","arf","2010-2015",0.292478142976979
"jbarl","ALB_ALB","arf","2015-2020",0.315912254154682
"jbarl","ALB_ALB","arf","2020-2025",0.510532455518842
"jbarl","ALB_ALB","arf","2025-2030",0.400036806240678
"jbarl","ALB_ALB","arf","2030-2035",0.311098340898752
"jbarl","ALB_ALB","arf","2035-2040",0.283393170684576
"jbarl","ALB_ALB","arf","2040-2045",0.31877604778856
"jbarl","ALB_ALB","arf","2045-2050",0.377880595624447
"jbarl","ALK_USA","air","2005-2010",1.45099520989685
"jbarl","ALK_USA","air","2010-2015",1.27999873503915
"jbarl","ALK_USA","air","2015-2020",1.10346265137196
"jbarl","ALK_USA","air","2020-2025",1.20687931776047
"jbarl","ALK_USA","air","2025-2030",1.24640306457877
"jbarl","ALK_USA","air","2030-2035",1.29838511347771
"jbarl","ALK_USA","air","2035-2040",1.39714721590281
"jbarl","ALK_USA","air","2040-2045",1.49808097630739
"jbarl","ALK_USA","air","2045-2050",1.54362749308348
"jbarl","ALK_USA","arf","2005-2010",1.39999669435757
"jbarl","ALK_USA","arf","2010-2015",0.930355365373639
"jbarl","ALK_USA","arf","2015-2020",0.893676653504372
"jbarl","ALK_USA","arf","2020-2025",1.08890486881137
"jbarl","ALK_USA","arf","2025-2030",1.05860196053982
"jbarl","ALK_USA","arf","2030-2035",1.06910308822989
"jbarl","ALK_USA","arf","2035-2040",1.13774621859193
"jbarl","ALK_USA","arf","2040-2045",1.21645703911781
"jbarl","ALK_USA","arf","2045-2050",1.27290980890393
"jbarl","AMA_BOL","air","2005-2010",1.47646703231635
"jbarl","AMA_BOL","air","2010-2015",2.0138062436032
"jbarl","AMA_BOL","air","2015-2020",1.07802515849471
"jbarl","AMA_BOL","air","2020-2025",0.8263417519629
"jbarl","AMA_BOL","air","2025-2030",0.964230392128229
"jbarl","AMA_BOL","air","2030-2035",1.03768156841397
"jbarl","AMA_BOL","air","2035-2040",1.12178437411785
"jbarl","AMA_BOL","air","2040-2045",1.2531609274447
"jbarl","AMA_BOL","air","2045-2050",1.26935224980116
"jbarl","AMA_BOL","arf","2005-2010",2.1306486864511
"jbarl","AMA_BOL","arf","2010-2015",2.78134145130806
"jbarl","AMA_BOL","arf","2015-2020",1.53854619711637
"jbarl","AMA_BOL","arf","2020-2025",0.593815324828029
"jbarl","AMA_BOL","arf","2025-2030",0.562990317121148
"jbarl","AMA_BOL","arf","2030-2035",0.53848996758461
"jbarl","AMA_BOL","arf","2035-2040",0.562010146677494
"jbarl","AMA_BOL","arf","2040-2045",0.669606542214751
"jbarl","AMA_BOL","arf","2045-2050",0.739098899066448
"jbarl","AMA_BRA","air","2005-2010",2.96381237183668
"jbarl","AMA_BRA","air","2010-2015",3.46204607726842
"jbarl","AMA_BRA","air","2015-2020",2.10903007537127
"jbarl","AMA_BRA","air","2020-2025",1.92081518471241
"jbarl","AMA_BRA","air","2025-2030",2.18053236603737
"jbarl","AMA_BRA","air","2030-2035",2.39474195986986
"jbarl","AMA_BRA","air","2035-2040",2.59349029511213
"jbarl","AMA_BRA","air","2040-2045",2.83164512366056
"jbarl","AMA_BRA","air","2045-2050",2.81194038689137
"jbarl","AMA_BRA","arf","2005-2010",2.62265231266494
"jbarl","AMA_BRA","arf","2010-2015",3.21636625513249
"jbarl","AMA_BRA","arf","2015-2020",1.96162220090628
"jbarl","AMA_BRA","arf","2020-2025",1.10451802611351
"jbarl","AMA_BRA","arf","2025-2030",1.1362798511982
"jbarl","AMA_BRA","arf","2030-2035",1.18378251791
"jbarl","AMA_BRA","arf","2035-2040",1.28333261236548
"jbarl","AMA_BRA","arf","2040-2045",1.4688796363771
"jbarl","AMA_BRA","arf","2045-2050",1.55771104618907
"jbarl","AMA_COL","air","2005-2010",0.348186461681763
"jbarl","AMA_COL","air","2010-2015",2.50704996604399
"jbarl","AMA_COL","air","2015-2020",1.62195917218924
"jbarl","AMA_COL","air","2020-2025",0.740653509274125
"jbarl","AMA_COL","air","2025-2030",0.637726485729218
"jbarl","AMA_COL","air","2030-2035",0.557118421420455
"jbarl","AMA_COL","air","2035-2040",0.560008827596903
"jbarl","AMA_COL","air","2040-2045",0.708906026557088
"jbarl","AMA_COL","air","2045-2050",1.11992638558149
"jbarl","AMA_COL","arf","2005-2010",0.009
"jbarl","AMA_COL","arf","2010-2015",2.12383255085632
"jbarl","AMA_COL","arf","2015-2020",1.39202876016498
"jbarl","AMA_COL","arf","2020-2025",0.853747688233852
"jbarl","AMA_COL","arf","2025-2030",0.837892945855856
"jbarl","AMA_COL","arf","2030-2035",0.801856815814972
"jbarl","AMA_COL","arf","2035-2040",0.814711023122072
"jbarl","AMA_COL","arf","2040-2045",0.928837619721889
"jbarl","AMA_COL","arf","2045-2050",1.23338224366307
"jbarl","AMA_ECU","air","2005-2010",1.43443632886537
"jbarl","AMA_ECU","air","2010-2015",2.49316161119458
"jbarl","AMA_ECU","air","2015-2020",5.33342882990837
"jbarl","AMA_ECU","air","2020-2025",4.42898087203503
"jbarl","AMA_ECU","air","2025-2030",3.39934565126896
"jbarl","AMA_ECU","air","2030-2035",2.38726120442152
"jbarl","AMA_ECU","air","2035-2040",1.43870105966926
"jbarl","AMA_ECU","air","2040-2045",0.575240142643452
"jbarl","AMA_ECU","air","2045-2050",0.717449327930808
"jbarl","AMA_ECU","arf","2005-2010",1.23288352951129
"jbarl","AMA_ECU","arf","2010-2015",2.38670690368368
"jbarl","AMA_ECU","arf","2015-2020",5.269555747509
"jbarl","AMA_ECU","arf","2020-2025",4.50154170393944
"jbarl","AMA_ECU","arf","2025-2030",3.5060852766037
"jbarl","AMA_ECU","arf","2030-2035",2.51333527266979
"jbarl","AMA_ECU","arf","2035-2040",1.57503038644791
"jbarl","AMA_ECU","arf","2040-2045",0.711955595761538
"jbarl","AMA_ECU","arf","2045-2050",0.824918691068888
"jbarl","AMA_PER","air","2005-2010",2.29207855354144
"jbarl","AMA_PER","air","2010-2015",2.8664054829579
"jbarl","AMA_PER","air","2015-2020",2.2169740870595
"jbarl","AMA_PER","air","2020-2025",1.1282205581665
"jbarl","AMA_PER","air","2025-2030",0.85205277428031
"jbarl","AMA_PER","air","2030-2035",0.618060026317835
"jbarl","AMA_PER","air","2035-2040",0.449233874678612
"jbarl","AMA_PER","air","2040-2045",0.376345776021481
"jbarl","AMA_PER","air","2045-2050",0.470070820301771
"jbarl","AMA_PER","arf","2005-2010",1.58755990687866
"jbarl","AMA_PER","arf","2010-2015",2.22320251393114
"jbarl","AMA_PER","arf","2015-2020",1.83105226606131
"jbarl","AMA_PER","arf","2020-2025",1.46639328449965
"jbarl","AMA_PER","arf","2025-2030",1.35558666661382
"jbarl","AMA_PER","arf","2030-2035",1.21340127661824
"jbarl","AMA_PER","arf","2035-2040",1.0933943092823
"jbarl","AMA_PER","arf","2040-2045",1.02376798167825
"jbarl","AMA_PER","arf","2045-2050",1.03862127289176
"jbarl","AMD_AFG","air","2005-2010",3.22352402612222
"jbarl","AMD_AFG","air","2010-2015",2.12609058618144
"jbarl","AMD_AFG","air","2015-2020",-1.87315605580807
"jbarl","AMD_AFG","air","2020-2025",-2.43261102586985
"jbarl","AMD_AFG","air","2025-2030",-1.5706917271018
"jbarl","AMD_AFG","air","2030-2035",-0.746568059548736
"jbarl","AMD_AFG","air","2035-2040",0.130917888600379
"jbarl","AMD_AFG","air","2040-2045",1.05593707412481
"jbarl","AMD_AFG","air","2045-2050",1.12285297363997
"jbarl","AMD_AFG","arf","2005-2010",3.08792307994982
"jbarl","AMD_AFG","arf","2010-2015",2.07626746520153
"jbarl","AMD_AFG","arf","2015-2020",-1.9030500203371
"jbarl","AMD_AFG","arf","2020-2025",-2.66108904033899
"jbarl","AMD_AFG","arf","2025-2030",-1.87456477433443
"jbarl","AMD_AFG","arf","2030-2035",-1.10864359885454
"jbarl","AMD_AFG","arf","2035-2040",-0.275143957696855
"jbarl","AMD_AFG","arf","2040-2045",0.609022751450539
"jbarl","AMD_AFG","arf","2045-2050",0.689577264711261
"jbarl","AMD_TJK","air","2005-2010",5.24271149392091
"jbarl","AMD_TJK","air","2010-2015",1.94838938819293
"jbarl","AMD_TJK","air","2015-2020",1.84772405773401
"jbarl","AMD_TJK","air","2020-2025",1.17862243205309
"jbarl","AMD_TJK","air","2025-2030",0.991976540535688
"jbarl","AMD_TJK","air","2030-2035",0.740973325446248
"jbarl","AMD_TJK","air","2035-2040",0.529190432280302
"jbarl","AMD_TJK","air","2040-2045",0.332453520968556
"jbarl","AMD_TJK","air","2045-2050",0.289308023639023
"jbarl","AMD_TJK","arf","2005-2010",5.00111512706693
"jbarl","AMD_TJK","arf","2010-2015",1.72169665448497
"jbarl","AMD_TJK","arf","2015-2020",1.71170830726624
"jbarl","AMD_TJK","arf","2020-2025",1.01081747561693
"jbarl","AMD_TJK","arf","2025-2030",0.783581379801035
"jbarl","AMD_TJK","arf","2030-2035",0.498002208769321
"jbarl","AMD_TJK","arf","2035-2040",0.256197317503393
"jbarl","AMD_TJK","arf","2040-2045",0.0517099339049309
"jbarl","AMD_TJK","arf","2045-2050",0.00900000013643876
"jbarl","AMD_TKM","air","2005-2010",5.24775420807727
"jbarl","AMD_TKM","air","2010-2015",2.37499342935563
"jbarl","AMD_TKM","air","2015-2020",-0.0203035204322077
"jbarl","AMD_TKM","air","2020-2025",-0.637000566348433
"jbarl","AMD_TKM","air","2025-2030",-0.314522814005613
"jbarl","AMD_TKM","air","2030-2035",-0.040708394953981
"jbarl","AMD_TKM","air","2035-2040",0.17908860463649
"jbarl","AMD_TKM","air","2040-2045",0.567814521491528
"jbarl","AMD_TKM","air","2045-2050",0.718191312626004
"jbarl","AMD_TKM","arf","2005-2010",5.20510573231321
"jbarl","AMD_TKM","arf","2010-2015",2.28969647782752
"jbarl","AMD_TKM","arf","2015-2020",-0.0714816909749061
"jbarl","AMD_TKM","arf","2020-2025",-0.983049534261227
"jbarl","AMD_TKM","arf","2025-2030",-0.802783202379942
"jbarl","AMD_TKM","arf","2030-2035",-0.634854519739747
"jbarl","AMD_TKM","arf","2035-2040",-0.386883830651641
"jbarl","AMD_TKM","arf","2040-2045",0.00900000013643876
"jbarl","AMD_TKM","arf","2045-2050",0.113360432442278
"jbarl","AMD_UZB","air","2005-2010",1.4854749387822
"jbarl","AMD_UZB","air","2010-2015",1.98307079512775
"jbarl","AMD_UZB","air","2015-2020",0.55373297072947
"jbarl","AMD_UZB","air","2020-2025",0.663949595764279
"jbarl","AMD_UZB","air","2025-2030",0.886367913335562
"jbarl","AMD_UZB","air","2030-2035",1.07983741909266
"jbarl","AMD_UZB","air","2035-2040",1.27431359142065
"jbarl","AMD_UZB","air","2040-2045",1.52833620086312
"jbarl","AMD_UZB","air","2045-2050",1.4693914912641
"jbarl","AMD_UZB","arf","2005-2010",0.967084284097603
"jbarl","AMD_UZB","arf","2010-2015",1.0492238142757
"jbarl","AMD_UZB","arf","2015-2020",-0.00657519631204195
"jbarl","AMD_UZB","arf","2020-2025",0.22221589460969
"jbarl","AMD_UZB","arf","2025-2030",0.307871610857546
"jbarl","AMD_UZB","arf","2030-2035",0.397310126572847
"jbarl","AMD_UZB","arf","2035-2040",0.504824100062251
"jbarl","AMD_UZB","arf","2040-2045",0.686674518510699
"jbarl","AMD_UZB","arf","2045-2050",0.649839360266924
"jbarl","AMR_CHM","air","2005-2010",2.1624058141992
"jbarl","AMR_CHM","air","2010-2015",2.12342150032234
"jbarl","AMR_CHM","air","2015-2020",1.5201766975224
"jbarl","AMR_CHM","air","2020-2025",0.856494624167681
"jbarl","AMR_CHM","air","2025-2030",0.69136768579483
"jbarl","AMR_CHM","air","2030-2035",0.492493808269501
"jbarl","AMR_CHM","air","2035-2040",0.370815978385508
"jbarl","AMR_CHM","air","2040-2045",0.307482550852001
"jbarl","AMR_CHM","air","2045-2050",0.305810593999922
"jbarl","AMR_CHM","arf","2005-2010",2.37742731338182
"jbarl","AMR_CHM","arf","2010-2015",2.55128278440752
"jbarl","AMR_CHM","arf","2015-2020",1.77689343690872
"jbarl","AMR_CHM","arf","2020-2025",0.806921906769276
"jbarl","AMR_CHM","arf","2025-2030",0.567426811903715
"jbarl","AMR_CHM","arf","2030-2035",0.320146535523236
"jbarl","AMR_CHM","arf","2035-2040",0.174050277564675
"jbarl","AMR_CHM","arf","2040-2045",0.105633749626577
"jbarl","AMR_CHM","arf","2045-2050",0.118515966460109
"jbarl","AMR_RUS","air","2005-2010",1.34007944549857
"jbarl","AMR_RUS","air","2010-2015",2.13520293752568
"jbarl","AMR_RUS","air","2015-2020",2.09390353411436
"jbarl","AMR_RUS","air","2020-2025",2.02958509325981
"jbarl","AMR_RUS","air","2025-2030",2.00973115861416
"jbarl","AMR_RUS","air","2030-2035",1.89755372703075
"jbarl","AMR_RUS","air","2035-2040",1.77729614078999
"jbarl","AMR_RUS","air","2040-2045",1.66256856173277
"jbarl","AMR_RUS","air","2045-2050",1.55582521110773
"jbarl","AMR_RUS","arf","2005-2010",1.61683309700108
"jbarl","AMR_RUS","arf","2010-2015",1.72416865820597
"jbarl","AMR_RUS","arf","2015-2020",1.84728298336267
"jbarl","AMR_RUS","arf","2020-2025",2.04227082431316
"jbarl","AMR_RUS","arf","2025-2030",1.90589539706707
"jbarl","AMR_RUS","arf","2030-2035",1.72314718365669
"jbarl","AMR_RUS","arf","2035-2040",1.55973834916949
"jbarl","AMR_RUS","arf","2040-2045",1.43094258382916
"jbarl","AMR_RUS","arf","2045-2050",1.33928656578064
"jbarl","ARA_IRQ","air","2005-2010",4.91430627626941
"jbarl","ARA_IRQ","air","2010-2015",2.57995716257416
"jbarl","ARA_IRQ","air","2015-2020",2.87071894854307
"jbarl","ARA_IRQ","air","2020-2025",1.10431503504515
"jbarl","ARA_IRQ","air","2025-2030",0.860810982994735
"jbarl","ARA_IRQ","air","2030-2035",0.531535940244794
"jbarl","ARA_IRQ","air","2035-2040",0.248205487150699
"jbarl","ARA_IRQ","air","2040-2045",0.00585000008868519
"jbarl","ARA_IRQ","air","2045-2050",0.00585000008868519
"jbarl","ARA_IRQ","arf","2005-2010",5.53083842115087
"jbarl","ARA_IRQ","arf","2010-2015",2.87252145233707
"jbarl","ARA_IRQ","arf","2015-2020",3.04625760763884
"jbarl","ARA_IRQ","arf","2020-2025",1.66570356115699
"jbarl","ARA_IRQ","arf","2025-2030",1.59360401332378
"jbarl","ARA_IRQ","arf","2030-2035",1.39861475676298
"jbarl","ARA_IRQ","arf","2035-2040",1.128468522802
"jbarl","ARA_IRQ","arf","2040-2045",0.930317956954241
"jbarl","ARA_IRQ","arf","2045-2050",0.864618634805083
"jbarl","ARK_USA","air","2005-2010",1.45099520989685
"jbarl","ARK_USA","air","2010-2015",1.27999873503915
"jbarl","ARK_USA","air","2015-2020",1.10346265137196
"jbarl","ARK_USA","air","2020-2025",1.20687931776047
"jbarl","ARK_USA","air","2025-2030",1.24640306457877
"jbarl","ARK_USA","air","2030-2035",1.29838511347771
"jbarl","ARK_USA","air","2035-2040",1.39714721590281
"jbarl","ARK_USA","air","2040-2045",1.49808097630739
"jbarl","ARK_USA","air","2045-2050",1.54362749308348
"jbarl","ARK_USA","arf","2005-2010",1.39999669435757
"jbarl","ARK_USA","arf","2010-2015",0.930355365373639
"jbarl","ARK_USA","arf","2015-2020",0.893676653504372
"jbarl","ARK_USA","arf","2020-2025",1.08890486881137
"jbarl","ARK_USA","arf","2025-2030",1.05860196053982
"jbarl","ARK_USA","arf","2030-2035",1.06910308822989
"jbarl","ARK_USA","arf","2035-2040",1.13774621859193
"jbarl","ARK_USA","arf","2040-2045",1.21645703911781
"jbarl","ARK_USA","arf","2045-2050",1.27290980890393
"jbarl","ARM_ARM","air","2005-2010",2.68654430448419
"jbarl","ARM_ARM","air","2010-2015",2.33477355467942
"jbarl","ARM_ARM","air","2015-2020",1.38274412602186
"jbarl","ARM_ARM","air","2020-2025",0.909644924104214
"jbarl","ARM_ARM","air","2025-2030",1.00671509280801
"jbarl","ARM_ARM","air","2030-2035",1.04427831247449
