"MOD","PROJ","CTY","YRS","Val"
"OECD","SSP1","AFG","2005",20.27
"OECD","SSP1","AFG","2006",22.8916942095435
"OECD","SSP1","AFG","2007",25.8524747796372
"OECD","SSP1","AFG","2008",29.1961986786083
"OECD","SSP1","AFG","2009",32.9723952753715
"OECD","SSP1","AFG","2010",37.237
"OECD","SSP1","AFG","2011",39.118263513181
"OECD","SSP1","AFG","2012",41.094570998917
"OECD","SSP1","AFG","2013",43.1707242070188
"OECD","SSP1","AFG","2014",45.351767478181
"OECD","SSP1","AFG","2015",47.643
"OECD","SSP1","AFG","2016",49.7501775960161
"OECD","SSP1","AFG","2017",51.9505524596507
"OECD","SSP1","AFG","2018",54.2482465646323
"OECD","SSP1","AFG","2019",56.6475641933322
"OECD","SSP1","AFG","2020",59.1529999999999
"OECD","SSP1","AFG","2021",62.5982208714374
"OECD","SSP1","AFG","2022",66.2441001516282
"OECD","SSP1","AFG","2023",70.1023246956409
"OECD","SSP1","AFG","2024",74.1852620306485
"OECD","SSP1","AFG","2025",78.5059999999999
"OECD","SSP1","AFG","2026",83.9186007933488
"OECD","SSP1","AFG","2027",89.7043736671522
"OECD","SSP1","AFG","2028",95.8890469924737
"OECD","SSP1","AFG","2029",102.500122984435
"OECD","SSP1","AFG","2030",109.567
"OECD","SSP1","AFG","2031",117.777395798494
"OECD","SSP1","AFG","2032",126.603037055638
"OECD","SSP1","AFG","2033",136.090027148624
"OECD","SSP1","AFG","2034",146.287924208121
"OECD","SSP1","AFG","2035",157.25
"OECD","SSP1","AFG","2036",169.230878099273
"OECD","SSP1","AFG","2037",182.124579346588
"OECD","SSP1","AFG","2038",196.000651741073
"OECD","SSP1","AFG","2039",210.933942144175
"OECD","SSP1","AFG","2040",227.005
"OECD","SSP1","AFG","2041",243.87231796597
"OECD","SSP1","AFG","2042",261.992940552389
"OECD","SSP1","AFG","2043",281.459992965934
"OECD","SSP1","AFG","2044",302.373519963383
"OECD","SSP1","AFG","2045",324.840999999999
"OECD","SSP1","AFG","2046",347.742625120966
"OECD","SSP1","AFG","2047",372.258838404083
"OECD","SSP1","AFG","2048",398.503469977981
"OECD","SSP1","AFG","2049",426.598375112616
"OECD","SSP1","AFG","2050",456.673999999999
"OECD","SSP1","AGO","2005",120.066
"OECD","SSP1","AGO","2006",133.931
"OECD","SSP1","AGO","2007",152.695
"OECD","SSP1","AGO","2008",169.745
"OECD","SSP1","AGO","2009",171.201
"OECD","SSP1","AGO","2010",179.52
"OECD","SSP1","AGO","2011",185.754
"OECD","SSP1","AGO","2012",201.621
"OECD","SSP1","AGO","2013",211.611
"OECD","SSP1","AGO","2014",221.816
"OECD","SSP1","AGO","2015",223.908
"OECD","SSP1","AGO","2016",218.132
"OECD","SSP1","AGO","2017",217.805
"OECD","SSP1","AGO","2018",214.937
"OECD","SSP1","AGO","2019",213.429
"OECD","SSP1","AGO","2020",201.395
"OECD","SSP1","AGO","2021",203.809
"OECD","SSP1","AGO","2022",210.017
"OECD","SSP1","AGO","2023",212.653
"OECD","SSP1","AGO","2024",219.616
"OECD","SSP1","AGO","2025",227.037
"OECD","SSP1","AGO","2026",234.877
"OECD","SSP1","AGO","2027",243.202
"OECD","SSP1","AGO","2028",252.42
"OECD","SSP1","AGO","2029",262.229
"OECD","SSP1","AGO","2030",272.628
"OECD","SSP1","AGO","2031",283.781
"OECD","SSP1","AGO","2032",295.5
"OECD","SSP1","AGO","2033",308.177
"OECD","SSP1","AGO","2034",321.439
"OECD","SSP1","AGO","2035",335.328
