"MOD","PROJ","CTY","YRS","Val"
"IIASA","SSP1","AFG","2005",27.57639
"IIASA","SSP1","AFG","2006",28.3040339697922
"IIASA","SSP1","AFG","2007",29.0508779054529
"IIASA","SSP1","AFG","2008",29.8174284265716
"IIASA","SSP1","AFG","2009",30.6042055206476
"IIASA","SSP1","AFG","2010",31.4117428958218
"IIASA","SSP1","AFG","2011",32.1630332279183
"IIASA","SSP1","AFG","2012",32.9322925458484
"IIASA","SSP1","AFG","2013",33.7199506228143
"IIASA","SSP1","AFG","2014",34.5264475111185
"IIASA","SSP1","AFG","2015",35.3522337880141
"IIASA","SSP1","AFG","2016",36.1517742978081
"IIASA","SSP1","AFG","2017",36.9693975412317
"IIASA","SSP1","AFG","2018",37.8055124847495
"IIASA","SSP1","AFG","2019",38.660537344178
"IIASA","SSP1","AFG","2020",39.5348997938729
"IIASA","SSP1","AFG","2021",40.3384656635878
"IIASA","SSP1","AFG","2022",41.1583643964271
"IIASA","SSP1","AFG","2023",41.9949279656962
"IIASA","SSP1","AFG","2024",42.8484950922176
"IIASA","SSP1","AFG","2025",43.7194113814778
"IIASA","SSP1","AFG","2026",44.4832123614701
"IIASA","SSP1","AFG","2027",45.2603573440143
"IIASA","SSP1","AFG","2028",46.0510794558131
"IIASA","SSP1","AFG","2029",46.8556158964148
"IIASA","SSP1","AFG","2030",47.6742080093678
"IIASA","SSP1","AFG","2031",48.4138980143038
"IIASA","SSP1","AFG","2032",49.1650646923981
"IIASA","SSP1","AFG","2033",49.927886110173
"IIASA","SSP1","AFG","2034",50.702543096945
"IIASA","SSP1","AFG","2035",51.4892192876911
"IIASA","SSP1","AFG","2036",52.173203814694
"IIASA","SSP1","AFG","2037",52.866274415241
"IIASA","SSP1","AFG","2038",53.5685517890398
"IIASA","SSP1","AFG","2039",54.2801582391771
"IIASA","SSP1","AFG","2040",55.0012176934179
"IIASA","SSP1","AFG","2041",55.6040141146957
"IIASA","SSP1","AFG","2042",56.2134169992619
"IIASA","SSP1","AFG","2043",56.8294987519211
"IIASA","SSP1","AFG","2044",57.4523325710126
"IIASA","SSP1","AFG","2045",58.0819924571066
"IIASA","SSP1","AFG","2046",58.5924619495154
"IIASA","SSP1","AFG","2047",59.1074178428147
"IIASA","SSP1","AFG","2048",59.626899566967
"IIASA","SSP1","AFG","2049",60.1509468984758
"IIASA","SSP1","AFG","2050",60.6795999634313
"IIASA","SSP1","AGO","2005",19.4509585
"IIASA","SSP1","AGO","2006",20.1623405
"IIASA","SSP1","AGO","2007",20.909684
"IIASA","SSP1","AGO","2008",21.691522
"IIASA","SSP1","AGO","2009",22.507674
"IIASA","SSP1","AGO","2010",23.3641855
"IIASA","SSP1","AGO","2011",24.2591115
"IIASA","SSP1","AGO","2012",25.1882925
"IIASA","SSP1","AGO","2013",26.147002
