"CTY","JJJ","Val"
"AFG","jbeef",-0.55
"AFG","jpork",-0.69
"AFG","jlamb",-0.55
"AFG","jpoul",-0.19
"AFG","jeggs",-0.1
"AFG","jmilk",-0.41
"AFG","jmaiz",-0.07
"AFG","jrice",0.1
"AFG","jwhea",-0.01
"AFG","jbean",0.1305
"AFG","jchkp",0.1305
"AFG","jcowp",0.1305
"AFG","jlent",0.1305
"AFG","jpigp",0.1305
"AFG","jopul",0.1305
"AFG","jbana",0.15
"AFG","jplnt",0.15
"AFG","jsubf",0.15
"AFG","jtemf",0.15
"AFG","jvege",0.2
"AFG","jsugr",0.3
"AFG","jgrnd",0.1305
"AFG","jgdnt",0.1305
"AFG","jgdol",-0.06
"AFG","jrpol",-0.06
"AFG","jsbol",-0.06
"AFG","jsfol",-0.06
"AFG","jplol",-0.06
"AFG","jpkol",-0.06
"AFG","jtool",-0.06
"AFG","jcoco",0.15
"AFG","jcafe",0.15
"AFG","jcott",0.3619
"AFG","jteas",0.15
"AFG","jothr",0.1305
"AFG","Shrimp",-0.00434420446528135
"AFG","Crust",-0.00434420446528135
"AFG","Salmon",-0.00527913698536595
"AFG","Tuna",-0.00621406950545064
"AFG","Cobswf",-0.00668153576549294
"AFG","Eelstg",-0.00714900202553535
"AFG","Tilapia",-0.00761646828557765
"AFG","Pangas",-0.00808393454561995
"AFG","Carp",-0.00855140080566225
"AFG","Mullet",-0.00901886706570464
"AFG","OFrshD",-0.00948633332574694
"AFG","OCarp",-0.00995379958578924
"AFG","OPelag",-0.0104212658458316
"AFG","OMarn",-0.0108887321058739
"AGO","jbeef",0.24
"AGO","jeggs",0.09
"AGO","jmilk",-0.29
"AGO","jbarl",-0.2
"AGO","jmaiz",-0.2
"AGO","jmill",-0.2
"AGO","jrice",0.12
"AGO","jsorg",-0.2
"AGO","jwhea",-0.25
"AGO","jocer",-0.2
"AGO","jbean",-0.0522
"AGO","jchkp",-0.0522
"AGO","jcowp",-0.0522
"AGO","jlent",-0.0522
"AGO","jpigp",-0.0522
"AGO","jopul",-0.0522
"AGO","jbana",-0.07
"AGO","jplnt",-0.07
"AGO","jsubf",-0.07
