"C","CTY","Val"
"cbeef","CHP",0.991120464035372
"cbeef","PAN",0.159147922167638
"cpork","CHP",0.991120464035372
"cpork","PAN",0.159147922167638
"clamb","CHP",0.991120464035372
"clamb","PAN",0.159147922167638
"cmilk","AFG",-3.06895180991686E-8
"cmilk","ARM",2.90724746775984E-7
"cmilk","BEN",-0.0203638269708936
"cmilk","BFA",-0.0203638269708936
"cmilk","BLR",-0.0526769699539244
"cmilk","BTN",-3.06895180991686E-8
"cmilk","CAN",0.000364551062338699
"cmilk","CHP",-5.99744909883219E-5
"cmilk","CIV",-0.0203638269708936
"cmilk","COL",2.09796138805291E-5
"cmilk","CRB",0.00381141175136635
"cmilk","CUB",0.00381141175136635
"cmilk","DOM",0.00381141175136635
"cmilk","FJI",-0.0131347518177703
"cmilk","GHA",-0.0203638269708936
"cmilk","GIN",-0.0203638269708936
"cmilk","GMB",-0.0203638269708936
"cmilk","GNB",-0.0203638269708936
"cmilk","GRL",7.6913545406353E-5
"cmilk","HTI",0.00381141175136635
"cmilk","HUN",3.39655285321287E-8
"cmilk","IRN",9.12124314708749E-5
"cmilk","IRQ",1.2744551765976E-9
"cmilk","ISR",1.2744551765976E-9
"cmilk","ITP",4.85518052425519E-8
"cmilk","JAM",0.00381141175136635
"cmilk","JOR",1.2744551765976E-9
"cmilk","JPN",-4.98603707708217E-7
"cmilk","KGZ",-0.00961966814476115
"cmilk","LAO",0.0074812607297636
"cmilk","LBN",1.2744551765976E-9
"cmilk","LBR",-0.0203638269708936
"cmilk","LSO",-0.0260331676826607
"cmilk","MDA",-0.0014721733691059
"cmilk","MRT",-0.0203638269708936
"cmilk","NAM",-0.0260331676826607
"cmilk","NER",-0.0203638269708936
"cmilk","NGA",-0.0203641321505193
"cmilk","NIC",0.00705920571740482
"cmilk","NOR",-1.53645635875294E-7
"cmilk","NPL",-3.06895180991686E-8
"cmilk","NZL",-0.0100851338274216
"cmilk","OPO",-0.0131347518177703
"cmilk","PAK",-0.000216174589333758
"cmilk","PHL",-0.00873045259481516
"cmilk","PNG",-0.0131347518177703
"cmilk","PSE",1.2744551765976E-9
"cmilk","RAP",1.2744551765976E-9
"cmilk","RUS",-0.058190377984674
"cmilk","SAU",1.2744551765976E-9
"cmilk","SLB",-0.0131347518177703
"cmilk","SLE",-0.0203638269708936
"cmilk","SVN",4.10888851988372E-8
"cmilk","SWZ",-0.0260331676826607
"cmilk","SYR",1.2744551765976E-9
"cmilk","TGO",-0.0203638269708936
"cmilk","TJK",-0.00364544661077947
"cmilk","TKM",-0.00364544661077947
"cmilk","UKR",-0.00147217493388875
"cmilk","USA",-0.000193803399907235
"cmilk","UZB",-0.00364544661077947
"cmilk","VUT",-0.0131347518177703
"cmilk","YEM",1.2744551765976E-9
"cmilk","ZAF",-0.0263699928216325
"cbarl","AUT",0.00520935780024358
"cbarl","BLT",0.014584929116341
"cbarl","BLX",0.00213874577161104
"cbarl","CYP",0.0200075656495207
"cbarl","CZE",0.00514552827519239
"cbarl","DEU",0.00221045464021993
"cbarl","DNK",0.00668849315234798
"cbarl","FNP",0.00780242939929777
"cbarl","FRP",0.00120665409409162
"cbarl","GRC",0.00357817032125496
"cbarl","HUN",0.00433856922732145
"cbarl","IRL",0.000152915776259657
"cbarl","ITP",0.00383849703243218
"cbarl","NLD",0.00648218659007659
"cbarl","POL",0.000911836622783973
"cbarl","PRT",0.000224170495523676
"cbarl","SPP",0.000662268662533028
"cbarl","SVK",0.00171288672358917
"cbarl","SVN",0.00472174856624297
"cbarl","SWE",0.00932861861172716
"cbarl","UKP",0.00209942087318646
"cmaiz","AUT",0.00520935780024358
"cmaiz","BLT",0.014584929116341
"cmaiz","BLX",0.00213874577161104
"cmaiz","CYP",0.0200075656495207
"cmaiz","CZE",0.00514552827519239
"cmaiz","DEU",0.00221045464021993
"cmaiz","DNK",0.00668849315234798
"cmaiz","FNP",0.00780242939929777
"cmaiz","FRP",0.00120665409409162
"cmaiz","GRC",0.00357817032125496
"cmaiz","HUN",0.00433856922732145
"cmaiz","IRL",0.000152915776259657
"cmaiz","ITP",0.00383849703243218
"cmaiz","NLD",0.00648218659007659
"cmaiz","POL",0.000911836622783973
"cmaiz","PRT",0.000224170495523676
"cmaiz","SPP",0.000662268662533028
"cmaiz","SVK",0.00171288672358917
"cmaiz","SVN",0.00472174856624297
"cmaiz","SWE",0.00932861861172716
"cmaiz","UKP",0.00209942087318646
"cmill","AUT",0.00520935780024358
"cmill","BLT",0.014584929116341
"cmill","BLX",0.00213874577161104
"cmill","CYP",0.0200075656495207
"cmill","CZE",0.00514552827519239
"cmill","DEU",0.00221045464021993
"cmill","DNK",0.00668849315234798
"cmill","FNP",0.00780242939929777
"cmill","FRP",0.00120665409409162
"cmill","GRC",0.00357817032125496
"cmill","HUN",0.00433856922732145
"cmill","IRL",0.000152915776259657
"cmill","ITP",0.00383849703243218
"cmill","NLD",0.00648218659007659
"cmill","POL",0.000911836622783973
"cmill","PRT",0.000224170495523676
"cmill","SPP",0.000662268662533028
"cmill","SVK",0.00171288672358917
"cmill","SVN",0.00472174856624297
"cmill","SWE",0.00932861861172716
"cmill","UKP",0.00209942087318646
"csorg","AUT",0.00520935780024358
"csorg","BLT",0.014584929116341
"csorg","BLX",0.00213874577161104
"csorg","CYP",0.0200075656495207
"csorg","CZE",0.00514552827519239
"csorg","DEU",0.00221045464021993
"csorg","DNK",0.00668849315234798
"csorg","FNP",0.00780242939929777
"csorg","FRP",0.00120665409409162
"csorg","GRC",0.00357817032125496
"csorg","HUN",0.00433856922732145
"csorg","IRL",0.000152915776259657
"csorg","ITP",0.00383849703243218
"csorg","NLD",0.00648218659007659
"csorg","POL",0.000911836622783973
"csorg","PRT",0.000224170495523676
"csorg","SPP",0.000662268662533028
"csorg","SVK",0.00171288672358917
"csorg","SVN",0.00472174856624297
"csorg","SWE",0.00932861861172716
"csorg","UKP",0.00209942087318646
"cocer","AUT",0.00520935780024358
"cocer","BLT",0.014584929116341
"cocer","BLX",0.00213874577161104
"cocer","CYP",0.0200075656495207
"cocer","CZE",0.00514552827519239
"cocer","DEU",0.00221045464021993
"cocer","DNK",0.00668849315234798
"cocer","FNP",0.00780242939929777
"cocer","FRP",0.00120665409409162
"cocer","GRC",0.00357817032125496
"cocer","HUN",0.00433856922732145
"cocer","IRL",0.000152915776259657
"cocer","ITP",0.00383849703243218
"cocer","NLD",0.00648218659007659
"cocer","POL",0.000911836622783973
"cocer","PRT",0.000224170495523676
"cocer","SPP",0.000662268662533028
"cocer","SVK",0.00171288672358917
"cocer","SVN",0.00472174856624297
"cocer","SWE",0.00932861861172716
"cocer","UKP",0.00209942087318646
"ccass","AUT",0.000226517583564392
"ccass","BLT",0.000223300981924998
"ccass","BLX",8.71674190569227E-5
"ccass","CHP",2.36670761653342
"ccass","CYP",0.000207899185409423
"ccass","CZE",8.99052404322923E-5
"ccass","DEU",0.000106640998033503
"ccass","DNK",0.000441760069734837
"ccass","FNP",0.000162568830244987
"ccass","FRP",0.00018308323006578
"ccass","GRC",0.000292252427169282
"ccass","HUN",0.000114384890625891
"ccass","IRL",2.02904057888008E-5
"ccass","IRQ",0.000361481228100131
"ccass","ISR",0.000361481228100131
"ccass","ITP",0.000193740620867537
"ccass","JOR",0.000361481228100131
"ccass","LBN",0.000361481228100131
"ccass","MOR",5.96046450370669E-6
"ccass","NLD",0.000196408433897301
"ccass","PAN",0.000633954994756655
"ccass","POL",0.000382651773020827
"ccass","PRT",0.000146615780208298
"ccass","PSE",0.000361481228100131
"ccass","RAP",0.000361481228100131
"ccass","SAU",0.000361481228100131
"ccass","SPP",8.86309135517268E-5
"ccass","SVK",0.000175694687233198
"ccass","SVN",0.000473828808942335
"ccass","SWE",0.000259866172460008
"ccass","SYR",0.000361481228100131
"ccass","TUN",0.0389480589173917
"ccass","UKP",0.000272524562773166
"ccass","YEM",0.000361481228100131
"cpota","AUT",0.000226517583564392
"cpota","BLT",0.000223300981924998
"cpota","BLX",8.71674190569227E-5
"cpota","CHP",2.36670761653342
"cpota","CYP",0.000207899185409423
"cpota","CZE",8.99052404322923E-5
"cpota","DEU",0.000106640998033503
"cpota","DNK",0.000441760069734837
"cpota","FNP",0.000162568830244987
"cpota","FRP",0.00018308323006578
"cpota","GRC",0.000292252427169282
"cpota","HUN",0.000114384890625891
"cpota","IRL",2.02904057888008E-5
"cpota","IRQ",0.000361481228100131
"cpota","ISR",0.000361481228100131
"cpota","ITP",0.000193740620867537
"cpota","JOR",0.000361481228100131
"cpota","LBN",0.000361481228100131
"cpota","MOR",5.96046450370669E-6
"cpota","NLD",0.000196408433897301
"cpota","PAN",0.000633954994756655
"cpota","POL",0.000382651773020827
"cpota","PRT",0.000146615780208298
"cpota","PSE",0.000361481228100131
"cpota","RAP",0.000361481228100131
"cpota","SAU",0.000361481228100131
"cpota","SPP",8.86309135517268E-5
"cpota","SVK",0.000175694687233198
"cpota","SVN",0.000473828808942335
"cpota","SWE",0.000259866172460008
"cpota","SYR",0.000361481228100131
"cpota","TUN",0.0389480589173917
"cpota","UKP",0.000272524562773166
"cpota","YEM",0.000361481228100131
"cswpt","AUT",0.000226517583564392
"cswpt","BLT",0.000223300981924998
"cswpt","BLX",8.71674190569227E-5
"cswpt","CHP",2.36670761653342
"cswpt","CYP",0.000207899185409423
"cswpt","CZE",8.99052404322923E-5
"cswpt","DEU",0.000106640998033503
"cswpt","DNK",0.000441760069734837
"cswpt","FNP",0.000162568830244987
"cswpt","FRP",0.00018308323006578
"cswpt","GRC",0.000292252427169282
"cswpt","HUN",0.000114384890625891
"cswpt","IRL",2.02904057888008E-5
"cswpt","IRQ",0.000361481228100131
"cswpt","ISR",0.000361481228100131
"cswpt","ITP",0.000193740620867537
"cswpt","JOR",0.000361481228100131
"cswpt","LBN",0.000361481228100131
"cswpt","MOR",5.96046450370669E-6
"cswpt","NLD",0.000196408433897301
"cswpt","PAN",0.000633954994756655
